,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.69,0.52,0.48,0.53,0.54,0.41,0.39,0.44,0.47,0.61,0.88,0.98,0.43
e-bio-flow.csv,0.63,0.61,0.47,0.48,0.44,0.9,0.64,0.47,0.88,0.83,0.42,0.98,0.92
jas.csv,0.61,0.62,0.88,0.57,0.52,0.79,0.76,0.56,0.53,0.8,0.69,0.46,0.82
jbpm.csv,0.77,0.88,0.5,0.74,0.83,0.8,0.86,0.87,0.67,0.67,0.0,0.75,0.8
jgossipforum.csv,0.46,0.45,0.88,0.79,0.7,0.44,0.71,0.45,0.95,0.8,0.41,0.45,0.67
jmonkeyengine.csv,0.5,0.54,0.65,0.53,0.56,0.48,0.59,0.53,0.59,0.64,0.49,0.48,0.47
joustsim.csv,0.49,0.42,0.59,0.61,0.55,0.41,0.36,0.47,0.71,0.61,0.42,0.46,0.5
log4net.csv,0.4,0.92,0.57,0.73,0.95,0.79,0.75,0.51,0.5,0.38,0.94,0.86,0.88
ngl.csv,0.36,0.45,0.4,0.45,0.51,0.43,0.52,0.34,0.46,0.34,0.37,0.46,0.5
piccolo2d.csv,0.35,0.41,0.54,0.47,0.68,0.55,0.5,0.41,0.67,0.38,0.92,0.47,0.92
pustefix.csv,0.78,0.72,0.46,0.69,0.53,0.75,0.46,0.49,0.42,0.8,0.81,0.68,0.43
reaper3d.csv,0.54,0.47,0.93,0.5,0.82,0.47,0.91,0.42,0.64,0.86,0.5,0.53,0.86
sblim.csv,0.75,0.62,0.48,0.84,0.78,0.8,0.8,0.53,0.82,0.82,0.95,0.55,0.61
