,campsoft.csv,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,sevenupdate.csv,freenet.csv,qlc.csv,officefloor.csv,botsnscouts.csv,google-caja.csv,yarp0.csv,kindb.csv,repositorium.csv,poormans.csv,illumination.csv,hibernate.csv,geogebra.csv
botsnscouts.csv,1.0,0.56,0.53,0.71,0.83,0.41,0.87,0.67,0.61,0.7,0.94,0.38,0.71,0.36,0.62,0.53,0.68,0.69
fbmanager.csv,1.0,0.0,0.06,0.65,0.48,0.53,0.04,0.06,0.0,0.33,0.0,0.06,0.0,0.0,0.68,0.0,0.0,0.0
freenet.csv,1.0,0.71,0.84,0.85,0.87,0.88,0.75,0.72,1.0,0.96,0.87,0.62,0.5,1.0,0.97,0.88,0.71,0.9
geogebra.csv,0.0,0.4,0.34,0.53,0.61,0.33,0.7,0.67,0.42,0.48,0.32,0.44,0.76,0.55,0.29,0.18,0.42,0.64
google-caja.csv,1.0,0.63,0.72,0.68,0.72,0.61,0.8,0.94,0.95,0.96,0.82,0.88,0.82,0.91,0.85,0.82,0.78,0.86
hibernate.csv,1.0,0.56,0.66,0.62,0.63,0.37,0.53,0.83,0.82,0.48,0.42,0.62,0.82,0.55,0.68,0.35,0.52,0.66
illumination.csv,1.0,0.78,0.75,1.0,0.91,1.0,0.13,0.78,0.0,1.0,0.37,1.0,0.0,0.0,1.0,0.76,0.0,0.0
kindb.csv,1.0,0.5,0.31,0.53,0.41,0.18,0.54,0.67,0.92,0.41,0.28,0.81,0.85,0.82,0.38,0.12,0.78,0.47
officefloor.csv,1.0,0.47,0.12,0.26,0.37,0.18,0.35,0.44,0.63,0.48,0.19,0.38,0.44,0.18,0.71,0.06,0.43,0.44
paintown.csv,1.0,0.69,0.62,0.85,0.93,0.76,0.71,0.78,0.97,0.78,0.86,0.5,0.71,0.91,0.71,0.41,0.84,0.9
poormans.csv,0.0,0.22,0.62,0.15,0.52,0.2,0.53,0.17,0.53,0.89,0.31,0.31,0.03,0.0,0.76,0.47,0.2,0.47
qlc.csv,0.0,0.59,0.53,0.53,0.46,0.37,0.66,0.83,0.55,0.59,0.62,0.38,0.35,0.64,0.59,0.41,0.53,0.35
repositorium.csv,0.0,0.4,0.34,0.44,0.33,0.47,0.46,0.22,0.08,0.0,0.32,0.62,0.0,0.73,0.15,0.29,0.08,0.09
sevenupdate.csv,1.0,0.96,0.94,0.82,1.0,0.76,0.87,0.94,0.97,0.59,0.85,1.0,1.0,1.0,1.0,0.53,0.94,0.85
sqlpower-library.csv,1.0,0.93,0.91,0.97,0.61,1.0,0.86,0.78,0.84,0.85,0.78,0.88,1.0,0.82,1.0,1.0,0.65,0.7
triplea.csv,1.0,0.6,0.72,0.47,0.76,0.29,0.84,0.72,0.76,0.52,0.76,0.38,0.74,0.45,0.88,0.41,0.55,0.68
yarp0.csv,1.0,0.53,0.66,0.91,0.43,0.9,0.74,0.78,0.74,0.3,0.73,0.75,0.5,0.91,0.59,0.88,0.45,0.58
