,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,89.5,484.0,0.0,260.5,98.5,0.0,97.5,506.5,97.5,167.0
ffigo.csv,95.5,575.5,49.5,454.5,98.5,95.5,99.0,329.5,99.0,245.5
foursquared.csv,0.0,768.0,92.5,235.5,98.5,95.5,0.0,195.0,0.0,0.0
gebr.csv,194.0,198.0,98.5,551.0,98.5,97.5,99.0,3172.0,99.0,731.0
ildjit.csv,529.0,289.0,97.5,183.0,96.5,426.5,99.0,797.5,182.0,271.5
jfreereport.csv,427.5,959.0,98.5,361.0,98.5,97.5,98.5,327.0,97.5,82.5
kml.csv,95.5,198.0,98.5,460.5,98.5,97.5,99.0,3202.0,98.5,828.5
ng4j.csv,780.5,198.0,97.5,549.0,98.5,95.5,99.0,1310.0,97.5,262.5
pcsx2.csv,436.5,198.0,98.5,551.0,96.5,95.5,99.0,1625.5,97.5,445.5
wxjs.csv,90.5,1250.5,0.0,4.5,105.0,115.0,232.5,879.0,86.5,360.5
