,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.62,0.53,0.36,0.57,0.19,0.18,0.68,0.2,0.27,0.49,0.42,0.55,0.53,0.17
doomlegacy.csv,0.84,0.9,0.69,1.0,0.17,0.64,0.47,0.8,0.3,0.72,0.62,1.0,0.88,0.19
empserver.csv,0.62,0.97,0.74,0.71,0.64,1.0,0.74,0.96,0.46,0.89,0.81,0.73,0.84,0.31
fritzing.csv,0.72,0.74,0.47,0.29,0.11,0.27,0.6,0.96,0.38,0.2,0.54,0.18,0.39,0.15
ifmo-game-1.csv,0.72,0.03,0.08,0.71,0.31,0.0,0.96,0.09,0.12,0.05,0.0,0.0,0.08,0.07
jparsec.csv,0.9,0.17,0.61,1.0,0.97,0.64,1.0,0.69,0.99,0.5,0.42,0.23,0.47,0.88
lmms.csv,0.8,0.56,0.71,0.71,0.83,0.82,0.94,0.51,0.86,0.72,0.73,0.82,0.6,0.61
lufa-lib.csv,0.32,0.64,0.54,0.14,0.11,0.36,0.6,0.84,0.71,0.39,0.69,0.5,0.3,0.39
pgui.csv,0.52,1.0,0.07,1.0,0.75,0.0,0.68,0.98,1.0,0.01,0.73,1.0,0.25,0.0
pi-qmc.csv,0.22,0.17,0.72,0.43,0.83,0.73,0.81,0.62,0.94,0.65,0.65,0.86,0.3,0.89
repositorium.csv,0.08,0.07,0.43,0.29,0.25,0.64,0.0,0.2,0.17,0.41,0.54,0.41,0.04,0.48
superwaba.csv,0.66,0.72,0.51,0.71,0.58,0.91,0.68,0.78,0.28,0.51,0.38,0.45,0.82,0.35
xapian.csv,1.0,0.97,0.87,0.86,0.67,0.73,0.85,0.44,0.82,0.79,0.69,0.64,1.0,0.71
zemljanka.csv,0.84,0.85,0.78,0.86,0.75,0.73,0.74,0.98,0.56,0.82,0.96,0.82,0.79,0.82
