,reactos-mirror.csv,qgo.csv,kmatplot.csv,nh3d.csv,taokgame.csv,mcore3d.csv,applet2app.csv,gbif-providertoolkit.csv,htmlunit.csv,qtwin.csv,unbvision.csv,wishmaster.csv,autat.csv,all-plasm.csv,acdk.csv,autowikibrowser.csv,uwom.csv
acdk.csv,0.2,0.29,0.36,0.62,0.39,0.11,0.24,0.06,0.48,0.3,0.49,0.21,0.25,0.37,0.25,0.39,0.26
all-plasm.csv,0.07,0.4,0.5,0.06,0.18,0.33,0.5,0.22,0.07,0.17,0.14,0.46,0.26,0.23,0.09,0.39,0.3
applet2app.csv,0.53,0.06,0.43,0.97,0.73,0.54,0.33,0.49,0.26,0.71,0.11,0.48,0.25,0.83,0.37,0.37,0.19
autat.csv,0.1,0.66,0.24,0.21,0.39,0.37,0.53,0.39,0.06,0.44,0.02,0.36,0.31,0.13,0.53,0.07,0.15
autowikibrowser.csv,0.54,0.49,0.44,0.64,0.48,0.4,0.67,0.84,0.81,0.49,0.35,0.51,0.57,0.9,0.63,0.28,0.36
gbif-providertoolkit.csv,0.45,0.29,0.69,0.72,0.39,0.58,0.36,0.27,0.17,0.78,0.14,0.66,0.25,0.13,0.29,0.63,0.55
htmlunit.csv,0.59,0.31,0.38,0.55,0.33,0.35,0.44,0.72,0.27,0.28,0.28,0.48,0.32,0.83,0.05,0.33,0.21
kmatplot.csv,0.15,0.8,0.28,0.99,0.74,0.33,0.68,0.37,0.24,0.57,0.05,0.02,0.32,0.57,0.79,0.39,0.49
mcore3d.csv,0.03,0.2,0.39,0.05,0.37,0.39,0.3,0.1,0.14,0.2,0.48,0.52,0.6,0.37,0.05,0.41,0.46
nh3d.csv,0.0,1.0,1.0,0.01,1.0,0.96,0.0,0.99,0.12,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
qgo.csv,0.89,0.14,0.71,0.99,0.57,0.6,0.46,0.72,0.78,0.42,0.89,0.84,0.66,0.87,0.6,0.8,0.87
qtwin.csv,0.0,0.37,0.09,0.05,0.11,0.04,0.52,0.09,0.11,0.09,0.0,0.07,0.12,0.13,0.11,0.04,0.06
reactos-mirror.csv,0.26,0.23,0.58,1.0,0.9,0.65,0.31,0.51,0.49,0.92,0.46,0.49,0.28,0.7,0.87,0.54,0.61
taokgame.csv,0.1,0.54,0.29,0.0,0.11,0.05,0.42,0.15,0.07,0.12,0.09,0.25,0.31,0.23,0.07,0.11,0.08
unbvision.csv,0.12,0.74,0.21,0.05,0.56,0.25,0.39,0.4,0.46,0.57,0.26,0.23,0.4,0.4,0.38,0.26,0.3
uwom.csv,0.22,0.26,0.45,0.99,0.68,0.46,0.41,0.27,0.17,0.25,0.01,0.15,0.26,0.37,0.64,0.81,0.27
wishmaster.csv,0.0,0.63,0.27,0.16,0.07,0.32,0.47,0.33,0.18,0.4,0.22,0.31,0.49,0.27,0.28,0.13,0.18
