,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.0,0.0,30.0,0.0,0.0,11.0,1.0,3.0,2.0,6.0,0.0,42.0,17.0,3.0
baadengine.csv,0.0,0.0,75.0,0.0,11.0,48.0,1.0,2.0,15.0,9.0,0.0,8.0,26.0,0.0
bnetd.csv,0.0,0.0,57.0,0.0,0.0,71.0,0.0,1.0,7.0,5.0,1.0,8.0,7.0,3.0
impala.csv,3.0,0.0,40.0,1.0,8.0,45.0,1.0,0.0,74.0,2.0,1.0,4.0,18.0,6.0
jaxen.csv,1.0,0.0,57.0,0.0,3.0,4.0,1.0,2.0,11.0,11.0,0.0,6.0,33.0,1.0
jgameai.csv,621.0,0.0,101.0,1.0,8.0,86.0,0.0,3.0,7.0,58.0,50.0,207.0,183.0,113.0
jparsec.csv,1.0,0.0,52.0,3.0,11.0,28.0,1.0,1.0,17.0,5.0,0.0,9.0,40.0,0.0
motu.csv,0.0,0.0,71.0,0.0,0.0,66.0,0.0,2.0,0.0,3.0,0.0,7.0,2.0,3.0
vars-redux.csv,0.0,1.0,33.0,13.0,4.0,29.0,1.0,2.0,5.0,5.0,1.0,6.0,6.0,0.0
werx.csv,1.0,0.0,83.0,0.0,11.0,56.0,1.0,2.0,17.0,13.0,1.0,7.0,41.0,3.0
wishmaster.csv,1.0,0.0,101.0,88.0,97.0,19.0,1.0,2.0,2.0,1.0,0.0,5.0,4.0,0.0
xreal.csv,1.0,0.0,101.0,4.0,1.0,86.0,2.0,2.0,74.0,3.0,50.0,5.0,0.0,2.0
zealos.csv,6.0,0.0,101.0,1.0,4.0,86.0,0.0,1.0,74.0,58.0,0.0,207.0,7.0,0.0
