,recall,precision,pf,wins
abbot.csv,0.82,0.42,0.7,181
acdk.csv,0.44,0.52,0.25,591
acegisecurity.csv,0.63,0.44,0.48,361
adaptagrams.csv,0.4,0.5,0.22,585
adobe-source.csv,0.5,0.46,0.34,478
adonthell.csv,0.52,0.39,0.47,246
agilitybook.csv,0.43,0.4,0.4,275
aime.csv,0.3,0.34,0.28,281
alembik.csv,0.27,0.56,0.13,610
algebsql.csv,0.39,0.33,0.5,89
all-plasm.csv,0.33,0.42,0.29,391
alleg.csv,0.5,0.4,0.43,280
alpine.csv,0.73,0.41,0.61,221
alsa.csv,0.67,0.45,0.5,372
amanda.csv,0.54,0.45,0.42,389
amateur-scrolls.csv,0.2,0.34,0.15,402
ambulant.csv,0.65,0.4,0.62,159
amygdala.csv,0.4,0.41,0.37,304
anaxagora.csv,0.63,0.43,0.49,327
apertium.csv,0.35,0.39,0.3,360
applet2app.csv,0.58,0.5,0.35,544
arcallians.csv,0.67,0.45,0.51,359
archive-crawler.csv,0.43,0.42,0.36,367
ardour.csv,0.51,0.51,0.31,562
arianne.csv,0.95,0.38,0.93,23
arm-webradio.csv,0.4,0.41,0.37,304
arsenal-1.csv,0.25,0.48,0.17,542
atlc.csv,0.69,0.39,0.68,105
atomsite.csv,0.72,0.42,0.65,181
atunes.csv,0.61,0.43,0.47,345
auber.csv,0.8,0.41,0.72,133
aubit4gl.csv,0.14,0.4,0.13,454
aufs.csv,0.27,0.33,0.27,272
autat.csv,0.29,0.48,0.18,555
autofac.csv,0.58,0.45,0.45,377
autoopencas.csv,0.3,0.27,0.45,60
autowikibrowser.csv,0.67,0.46,0.49,394
avifile.csv,0.44,0.36,0.49,149
avisynth2.csv,0.03,0.31,0.02,432
awemud.csv,0.57,0.46,0.4,443
aztec.csv,0.37,0.5,0.22,574
azureus.csv,0.86,0.4,0.8,86
baadengine.csv,0.89,0.42,0.77,137
bacnet.csv,0.46,0.45,0.32,469
bacula.csv,0.73,0.42,0.6,243
badtrinity-zero.csv,0.45,0.44,0.33,436
badtrinitycore.csv,0.35,0.44,0.26,462
bdbbasic.csv,0.46,0.41,0.36,376
betoffice.csv,0.71,0.33,0.83,1
bibedt.csv,0.54,0.45,0.39,423
bibletime.csv,0.7,0.43,0.53,318
