,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.88,0.55,0.44,0.69,0.51,0.76,0.44,0.35,0.42,0.7,0.48
gdis.csv,0.64,0.54,0.5,0.53,0.51,0.53,0.51,0.58,0.35,0.72,0.85
genoviz.csv,0.75,0.83,0.88,0.92,0.73,0.92,0.5,0.83,0.83,0.56,0.7
kml.csv,0.49,0.55,0.41,0.4,0.43,0.42,0.44,0.39,0.39,0.4,0.32
omseek.csv,0.75,0.83,0.75,0.91,0.57,0.7,0.5,0.0,0.92,0.48,0.64
ossbuild.csv,0.5,0.56,0.98,0.58,0.57,0.63,0.83,0.97,0.75,0.81,0.45
popeye-chess.csv,0.46,0.44,0.6,0.46,0.56,0.62,0.83,0.56,0.45,0.74,0.63
quarkplayer.csv,0.94,0.7,0.79,0.89,0.8,0.73,0.67,0.97,0.93,0.93,0.88
turbotrader-bos.csv,0.69,0.5,0.55,0.77,0.46,0.71,0.44,0.35,0.38,0.42,0.38
virtuoso.csv,0.39,0.63,0.97,0.43,0.51,0.44,0.36,0.66,0.36,0.4,0.36
zscreen.csv,0.49,0.58,0.98,0.42,0.5,0.61,0.8,0.96,0.71,0.58,0.38
