,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,quantlib.csv
chipster.csv,0.0,0.38,0.25,0.0,0.81,0.31,0.44,0.0,0.0,0.25,0.04,0.04,0.45,0.0,0.09,0.01
fontforge.csv,1.0,0.91,1.0,1.0,1.0,0.56,0.98,0.19,0.96,1.0,0.43,0.94,0.83,0.91,0.97,0.99
glas.csv,0.73,0.68,0.28,0.33,0.9,0.74,0.71,0.81,0.71,0.6,0.65,0.78,0.69,0.27,0.62,0.55
hannosset.csv,0.41,0.22,0.03,0.04,0.48,0.28,0.19,0.35,0.41,0.18,0.17,0.11,0.14,0.11,0.25,0.13
hatari.csv,0.75,0.62,0.31,0.71,0.91,0.57,0.81,0.97,0.92,0.9,0.22,0.95,0.9,0.85,0.65,0.56
jaolt.csv,0.61,0.53,0.19,0.64,0.14,0.45,0.56,0.52,0.41,0.22,0.52,0.72,0.48,0.27,0.52,0.49
ltp.csv,0.25,0.65,0.86,0.62,0.43,0.7,0.83,0.55,0.65,0.48,0.39,0.44,0.69,0.51,0.9,0.68
mia.csv,0.25,0.0,0.31,0.76,0.08,0.12,0.4,0.35,0.61,0.95,0.04,0.2,0.03,0.05,0.07,0.24
net-snmp.csv,0.35,0.62,0.36,0.69,0.73,0.74,0.38,0.97,0.81,0.8,0.87,0.48,0.52,0.67,0.32,0.61
opde.csv,1.0,0.39,1.0,0.22,1.0,0.59,0.29,1.0,0.69,0.0,0.22,0.97,0.59,0.13,0.74,0.31
oppna-program-hsatools.csv,0.67,0.42,0.58,1.0,0.7,0.29,0.77,0.94,0.84,0.95,0.13,0.99,0.52,0.22,0.17,0.6
powerfolder-.csv,0.35,0.2,0.14,0.67,0.1,0.24,0.31,0.32,0.3,0.28,0.3,0.68,0.21,0.09,0.17,0.26
qlc.csv,0.0,0.47,0.0,0.58,0.68,0.22,0.19,0.0,0.39,0.6,0.0,0.73,0.1,0.07,0.13,0.15
quantlib.csv,1.0,0.15,0.0,0.0,1.0,0.31,0.0,1.0,0.16,1.0,0.35,0.1,0.14,0.0,0.0,0.29
tcl.csv,0.67,0.81,0.75,0.93,0.68,0.66,0.71,0.0,0.5,0.35,0.7,0.87,0.9,0.91,0.55,0.76
