,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.6,0.9,0.53,0.8,0.76,0.63,0.45,0.55,0.87,0.68
gamestone.csv,0.95,0.23,0.84,0.71,0.94,1.0,1.0,1.0,0.93,0.92
gbif-providertoolkit.csv,0.69,1.02,0.78,1.0,0.39,0.63,0.77,0.53,0.85,0.61
heekscad.csv,0.32,0.38,0.44,0.58,0.58,0.55,0.69,0.63,0.65,0.64
igarden.csv,0.42,0.81,0.66,0.51,0.51,0.52,0.71,0.51,0.4,0.52
levent.csv,0.51,0.89,0.84,0.9,0.72,0.45,0.65,0.88,1.0,0.73
owlapi.csv,0.82,1.02,0.76,0.94,0.66,0.62,0.81,0.3,0.5,0.79
pnotepad.csv,0.45,0.52,0.7,0.93,0.91,0.62,0.62,0.9,1.0,0.12
quark.csv,0.69,0.88,0.7,0.94,0.86,0.98,0.97,0.76,0.29,0.83
xcsoar.csv,0.39,0.76,0.4,0.62,0.49,0.67,0.64,0.64,1.0,0.79
