,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.94,0.85,0.51,0.52,0.57,0.77,0.52,0.72,0.92,0.81,0.85,0.61,0.52
bscwweasel.csv,0.98,1.0,0.59,0.41,0.51,0.65,0.79,0.82,0.73,0.65,0.82,0.63,0.51
capcode.csv,0.97,0.62,0.78,0.74,0.76,0.42,0.73,0.72,0.55,0.63,0.77,0.73,0.63
emite.csv,0.7,0.78,0.66,0.83,0.53,0.95,0.72,0.81,0.67,0.77,0.48,0.63,0.75
geogebra.csv,0.97,0.63,0.69,0.63,0.64,0.56,0.92,0.6,0.5,0.66,0.9,0.44,0.48
hibernate.csv,1.0,0.72,0.8,0.92,0.67,0.8,0.79,0.6,0.79,0.56,0.81,0.49,0.66
lamp.csv,0.8,0.42,0.65,0.62,0.98,0.79,0.96,0.58,0.69,0.6,0.81,0.8,0.76
nodal.csv,0.99,0.86,0.6,0.65,0.89,0.63,0.98,0.76,0.44,0.72,0.94,0.73,0.43
retromenu.csv,0.78,0.62,0.51,0.77,0.35,0.75,0.8,0.9,0.72,0.79,0.61,0.67,0.72
smbopensoft.csv,0.29,0.98,0.95,0.78,0.87,0.61,0.69,0.82,0.48,0.8,0.8,0.76,0.43
stuproa-cims.csv,1.0,0.86,0.63,0.66,0.59,1.0,0.98,0.46,0.76,0.79,0.71,0.57,0.53
thout.csv,0.6,0.98,0.47,0.75,0.68,0.89,0.85,0.88,0.92,0.8,0.91,0.9,0.54
uface.csv,1.0,1.0,0.94,0.52,0.71,0.66,1.0,0.71,0.67,0.6,0.61,0.74,0.07
