,extprosys.csv,codeblocks.csv,qcad2.csv,fluidium.csv,haphazard.csv,silvertree.csv
codeblocks.csv,0.44,0.99,0.53,0.41,0.25,0.26
extprosys.csv,0.92,0.63,0.33,0.56,0.37,0.35
fluidium.csv,0.42,0.5,0.21,0.95,0.27,0.41
haphazard.csv,0.04,0.32,0.0,0.23,0.96,0.12
qcad2.csv,0.03,0.31,0.98,0.45,0.27,0.48
silvertree.csv,0.38,0.42,0.51,0.44,0.2,0.94
