,extprosys.csv,codeblocks.csv,qcad2.csv,fluidium.csv,haphazard.csv,silvertree.csv
codeblocks.csv,0.53,0.43,0.48,0.48,0.3,0.71
extprosys.csv,0.78,0.63,0.72,0.56,0.48,0.59
fluidium.csv,0.69,0.61,0.95,0.65,0.89,0.79
haphazard.csv,0.67,0.98,0.67,0.8,0.92,0.86
qcad2.csv,0.83,0.93,0.61,0.75,0.53,0.71
silvertree.csv,0.76,0.68,0.57,0.47,0.56,0.68
