,extprosys.csv,codeblocks.csv,qcad2.csv,fluidium.csv,haphazard.csv,silvertree.csv
codeblocks.csv,0.76,0.03,0.75,0.76,0.71,0.43
extprosys.csv,0.01,0.72,0.44,0.69,0.67,0.63
fluidium.csv,0.6,0.21,0.29,0.07,0.12,0.17
haphazard.csv,0.01,0.46,0.03,0.07,0.0,0.14
qcad2.csv,0.04,0.13,0.0,0.59,0.5,0.2
silvertree.csv,0.41,0.18,0.23,0.24,0.44,0.0
