,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.22,0.26,0.41,0.28,0.3,0.42,0.14,0.35,0.67,0.23,0.44,0.13
ctrlr.csv,0.45,0.0,0.21,0.14,0.3,0.16,0.27,0.38,0.5,0.43,0.12,0.47
dvt.csv,0.59,0.47,0.05,0.32,0.59,0.07,0.41,0.57,0.5,0.48,0.35,0.27
flylinkdc.csv,0.23,0.96,0.69,0.92,0.41,0.68,0.71,0.38,0.67,0.53,0.47,0.87
free-evolution.csv,0.96,0.42,0.69,0.51,0.7,0.42,0.12,0.65,0.5,0.47,0.34,0.47
fw4spl.csv,0.38,0.23,0.28,0.31,0.32,0.26,0.42,0.43,0.17,0.54,0.21,0.2
ipfire-wall.csv,0.17,0.33,0.38,0.19,0.08,0.11,0.27,0.3,0.17,0.03,0.06,0.07
ldview.csv,0.99,1.0,0.97,1.0,0.27,0.79,0.58,0.86,1.0,0.48,0.65,0.7
nuttx.csv,0.34,0.08,0.54,0.18,0.35,0.32,0.15,0.59,0.33,0.5,0.43,0.57
uclmda.csv,0.35,0.01,0.1,0.06,0.54,0.17,0.14,0.43,0.0,0.23,0.13,0.1
vdsf.csv,0.81,0.13,0.95,0.78,0.59,0.45,0.8,0.89,0.5,0.66,0.88,0.87
xcf.csv,0.69,0.39,0.46,0.38,0.35,0.39,0.37,0.84,0.83,0.37,0.32,0.37
