,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.27,0.09,0.84,0.39,0.48,0.17,0.0,0.28,0.97,0.33,0.28,0.56
ctrlr.csv,0.21,0.0,0.86,0.42,0.35,0.1,0.5,0.33,0.98,0.09,0.28,0.5
dvt.csv,0.3,0.09,0.82,0.48,0.27,0.08,0.41,0.28,0.98,0.14,0.24,0.5
flylinkdc.csv,0.53,0.07,0.82,0.29,0.38,0.1,0.26,0.42,0.9,0.17,0.28,0.4
free-evolution.csv,0.28,0.12,0.84,0.35,0.38,0.17,0.36,0.25,0.98,0.19,0.36,0.61
fw4spl.csv,0.31,0.12,0.83,0.28,0.29,0.26,0.26,0.38,0.94,0.17,0.38,0.67
ipfire-wall.csv,0.47,0.16,0.78,0.3,0.0,0.22,0.16,0.59,0.0,0.17,0.33,0.8
ldview.csv,0.27,0.09,0.83,0.29,0.55,0.13,0.32,0.33,0.95,0.1,0.25,0.56
nuttx.csv,0.38,0.11,0.87,0.33,0.48,0.2,0.44,0.27,0.98,0.19,0.3,0.55
uclmda.csv,0.19,0.0,0.88,0.5,0.29,0.17,0.43,0.16,1.0,0.11,0.33,0.7
vdsf.csv,0.24,0.21,0.77,0.31,0.39,0.07,0.22,0.35,0.96,0.13,0.2,0.43
xcf.csv,0.34,0.14,0.83,0.39,0.5,0.18,0.35,0.37,0.96,0.13,0.28,0.7
