,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.24,0.14,0.6,0.41,0.48,0.26,0.0,0.28,0.96,0.45,0.37,0.24
ctrlr.csv,0.26,0.0,0.4,0.3,0.32,0.11,0.6,0.36,0.94,0.13,0.2,0.47
dvt.csv,0.42,0.16,0.09,0.56,0.31,0.06,0.55,0.34,0.96,0.21,0.29,0.33
flylinkdc.csv,0.6,0.14,0.75,0.44,0.4,0.17,0.38,0.48,0.37,0.27,0.37,0.45
free-evolution.csv,0.44,0.2,0.79,0.46,0.51,0.26,0.25,0.32,0.99,0.3,0.45,0.65
fw4spl.csv,0.37,0.18,0.42,0.28,0.26,0.37,0.33,0.45,0.18,0.27,0.4,0.48
ipfire-wall.csv,0.43,0.25,0.43,0.23,0.0,0.22,0.15,0.71,0.0,0.07,0.14,0.38
ldview.csv,0.43,0.16,0.9,0.45,0.56,0.23,0.45,0.48,0.8,0.16,0.37,0.68
nuttx.csv,0.46,0.11,0.8,0.26,0.52,0.28,0.38,0.33,0.83,0.3,0.4,0.6
uclmda.csv,0.2,0.0,0.28,0.22,0.33,0.19,0.34,0.16,1.0,0.13,0.26,0.33
vdsf.csv,0.35,0.27,0.73,0.45,0.49,0.11,0.32,0.52,0.63,0.21,0.31,0.51
xcf.csv,0.5,0.23,0.6,0.46,0.55,0.27,0.44,0.54,0.79,0.19,0.32,0.75
