,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.81,0.77,0.68,0.64,0.6,0.61,1.01,0.8,0.67,0.37,0.63,0.85
ctrlr.csv,0.81,1.0,0.77,0.77,0.77,0.89,0.36,0.72,0.51,0.87,0.86,0.73
dvt.csv,0.67,0.69,0.95,0.44,0.86,0.96,0.45,0.79,0.5,0.73,0.72,0.8
flylinkdc.csv,0.38,0.98,0.76,0.93,0.7,0.83,0.77,0.58,1.02,0.63,0.63,0.99
free-evolution.csv,0.96,0.59,0.74,0.61,0.74,0.61,0.82,0.85,0.5,0.58,0.52,0.56
fw4spl.csv,0.66,0.7,0.77,0.78,0.83,0.46,0.71,0.62,0.92,0.63,0.61,0.66
ipfire-wall.csv,0.62,0.49,0.8,0.83,1.0,0.8,0.9,0.32,1.01,0.96,0.91,0.75
ldview.csv,0.99,1.0,0.97,1.0,0.51,0.81,0.62,0.87,1.05,0.82,0.72,0.72
nuttx.csv,0.55,0.9,0.6,0.81,0.55,0.58,0.68,0.81,0.43,0.58,0.58,0.66
uclmda.csv,0.86,1.0,0.84,0.86,0.82,0.79,0.73,0.94,0.01,0.87,0.8,0.79
vdsf.csv,0.87,0.65,1.0,0.8,0.68,0.89,0.88,0.89,0.73,0.78,0.93,0.94
xcf.csv,0.69,0.52,0.7,0.57,0.52,0.59,0.57,0.84,0.89,0.76,0.68,0.41
