,lamp.csv,sevenupdate.csv,retromenu.csv,intact.csv,jbpm.csv,rohxel.csv,jpaul.csv,encog-cs.csv,stemkit.csv,panda3d.csv,soar.csv,jchassis.csv,gephex.csv,opendvr.csv,mevenide.csv,thedata.csv
encog-cs.csv,0.1,0.88,0.35,0.29,0.07,0.77,0.18,0.49,0.08,0.32,0.56,0.0,0.65,0.21,0.35,0.06
gephex.csv,0.08,0.96,0.33,0.28,0.13,0.78,0.34,0.39,0.08,0.31,0.0,0.0,0.79,0.29,0.28,0.06
intact.csv,0.15,0.87,0.37,0.48,0.13,0.88,0.41,0.52,0.0,0.17,0.25,0.0,0.68,0.43,0.22,0.0
jbpm.csv,0.0,1.0,0.6,0.0,0.43,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.17
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0
jpaul.csv,0.0,1.0,0.47,0.2,0.26,0.92,0.52,0.29,0.0,0.0,1.0,0.11,1.0,0.5,0.5,0.0
lamp.csv,0.23,1.0,0.32,0.38,0.15,0.83,0.34,0.36,0.07,0.39,0.55,0.0,0.68,0.28,0.33,0.05
mevenide.csv,0.0,0.88,0.61,0.0,0.41,0.0,0.62,1.0,0.0,0.42,0.52,0.17,0.57,0.0,0.55,0.14
opendvr.csv,0.1,0.84,0.5,0.47,0.26,0.87,0.2,0.5,0.04,0.37,0.0,0.0,0.79,0.51,0.24,0.06
panda3d.csv,0.09,0.91,0.28,0.27,0.17,0.73,0.38,0.21,0.25,0.39,0.55,0.04,0.62,0.28,0.3,0.0
retromenu.csv,0.18,0.92,0.59,0.33,0.04,1.0,0.5,0.44,0.0,0.29,1.0,0.0,0.75,0.8,0.43,0.0
rohxel.csv,0.09,1.0,0.44,0.41,0.03,0.91,0.4,0.55,0.12,0.23,0.48,0.0,0.59,0.36,0.4,0.0
sevenupdate.csv,0.1,1.0,0.31,0.29,0.12,0.78,0.29,0.36,0.08,0.31,0.55,0.03,0.63,0.29,0.25,0.06
soar.csv,0.1,0.85,0.33,0.28,0.11,0.8,0.29,0.32,0.08,0.31,0.72,0.03,0.63,0.29,0.27,0.06
stemkit.csv,0.06,0.83,0.2,0.26,0.18,0.69,0.0,0.44,0.2,0.32,0.67,0.0,0.53,0.33,0.19,0.06
thedata.csv,0.12,0.83,0.33,0.36,0.07,0.77,0.2,0.36,0.09,0.34,0.55,0.0,0.61,0.29,0.2,0.44
