,lamp.csv,sevenupdate.csv,retromenu.csv,intact.csv,jbpm.csv,rohxel.csv,jpaul.csv,encog-cs.csv,stemkit.csv,panda3d.csv,soar.csv,jchassis.csv,gephex.csv,opendvr.csv,mevenide.csv,thedata.csv
encog-cs.csv,0.79,0.43,0.29,0.73,0.27,0.87,0.41,0.67,1.0,0.54,0.61,0.0,0.68,0.27,0.31,0.5
gephex.csv,0.64,0.45,0.95,0.9,0.73,0.82,0.76,0.47,1.0,0.83,0.0,0.0,0.73,0.91,0.79,1.0
intact.csv,0.36,0.69,0.95,0.67,0.44,0.18,0.71,0.45,0.0,0.08,0.03,0.0,0.24,0.14,0.38,0.0
jbpm.csv,0.0,0.06,0.43,0.0,0.77,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.14,0.25
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0
jpaul.csv,0.0,0.22,0.43,0.07,0.58,0.31,0.88,0.03,0.0,0.0,0.03,1.0,0.01,0.18,0.34,0.0
lamp.csv,0.64,0.41,1.0,0.57,0.63,0.62,0.82,1.0,0.83,0.58,0.74,0.0,0.27,0.59,0.59,0.75
mevenide.csv,0.0,0.14,0.52,0.0,0.48,0.0,0.59,0.03,0.0,0.35,0.48,0.5,0.06,0.0,0.72,0.25
opendvr.csv,0.71,0.65,1.0,0.47,0.73,0.33,0.18,0.5,0.17,0.52,0.0,0.0,0.48,0.82,0.28,0.25
panda3d.csv,0.29,0.41,0.24,0.47,0.42,0.41,0.47,0.2,0.17,0.46,0.97,1.0,0.44,0.23,0.79,0.0
retromenu.csv,0.5,0.47,0.76,0.03,0.02,0.08,0.12,0.53,0.0,0.17,0.03,0.0,0.13,0.18,0.1,0.0
rohxel.csv,0.36,0.14,0.38,0.23,0.06,0.74,0.24,0.32,0.5,0.21,0.48,0.0,0.14,0.45,0.07,0.0
sevenupdate.csv,1.0,0.78,0.95,1.0,1.0,1.0,1.0,0.91,1.0,0.98,1.0,1.0,0.97,1.0,1.0,1.0
soar.csv,1.0,0.59,0.9,0.9,0.83,0.85,0.94,0.65,1.0,1.0,0.68,1.0,0.97,1.0,0.97,1.0
stemkit.csv,0.21,0.1,0.24,0.2,0.54,0.28,0.0,0.35,0.83,0.4,0.26,0.0,0.13,0.55,0.14,0.25
thedata.csv,0.86,0.51,0.9,0.63,0.42,0.77,0.53,0.97,0.83,0.52,1.0,0.0,0.76,0.45,0.55,1.0
