,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.67,1.0,0.41,0.72,0.59,0.73,0.68,0.78,0.59,0.82,0.75
biopax.csv,0.57,0.64,0.48,0.39,0.53,0.57,0.41,0.45,0.99,0.45,0.34
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kml.csv,0.63,0.55,0.56,0.72,0.98,0.71,0.61,0.53,0.6,0.86,0.52
les-indemodables.csv,0.44,0.27,0.46,0.54,0.37,0.49,0.93,0.26,0.18,0.67,0.49
metacosm.csv,0.6,0.41,0.34,0.44,0.44,0.49,0.6,0.64,0.6,0.66,0.97
moviesandbox.csv,0.98,0.27,0.41,0.51,0.32,0.58,0.65,0.74,0.5,0.36,0.65
sigil.csv,0.77,0.52,0.46,0.7,0.17,1.0,0.69,0.78,0.35,0.83,0.7
unflobtactical.csv,0.59,0.11,0.45,1.0,0.33,0.6,0.5,0.69,0.1,0.86,0.18
xtreemfs.csv,0.49,0.23,0.39,0.62,0.73,0.61,0.66,1.0,0.12,0.8,0.3
yale.csv,0.3,0.44,0.93,0.52,0.4,0.3,0.34,0.34,0.16,0.38,0.25
