,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,geochat.csv
adaptagrams.csv,0.79,0.72,0.6,0.6,0.61,0.12
aime.csv,0.59,0.21,0.31,0.0,0.77,0.34
badtrinitycore.csv,0.0,0.04,0.51,0.84,0.45,0.47
electric-core.csv,0.56,0.67,0.64,0.66,0.57,0.56
geochat.csv,0.32,0.21,0.37,0.05,0.4,0.56
olsrd.csv,0.57,0.77,0.56,0.69,0.6,0.58
