,scen-connect.csv,bwapi.csv,ontopia.csv,smartgwt.csv,adobe-source.csv,lite.csv,gisgraphy.csv
adobe-source.csv,0.51,0.22,0.07,0.97,0.14,0.54,0.46
bwapi.csv,0.08,0.22,1.0,0.97,0.98,0.27,1.0
gisgraphy.csv,0.44,0.28,0.07,0.26,0.11,0.78,0.19
lite.csv,0.38,0.33,0.86,0.3,0.3,0.37,0.71
ontopia.csv,0.97,0.97,0.21,0.21,0.67,0.83,0.42
smartgwt.csv,0.33,0.5,0.36,0.2,0.69,0.02,0.4
