,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv
atomsite.csv,1.0,0.73,0.99,0.52,0.62,0.5,0.84,0.93,0.87,0.82,0.5,0.88,0.74,0.61,0.77,0.97
betoffice.csv,0.63,0.93,0.75,0.89,1.02,0.87,0.97,0.64,0.9,0.88,0.88,0.89,0.93,0.95,0.92,0.63
bionote.csv,0.77,0.49,0.71,0.75,0.73,0.92,0.88,0.89,0.61,0.74,0.67,0.8,0.33,0.48,0.65,0.78
bnetd.csv,0.92,1.0,0.89,0.7,0.84,0.62,0.77,1.0,0.66,0.68,0.33,1.0,0.72,0.39,0.89,0.95
emisview.csv,0.81,1.0,0.95,0.57,0.61,0.47,0.83,0.9,0.58,0.99,0.76,0.85,0.57,0.61,0.71,0.91
findbugs.csv,1.03,0.5,1.0,0.8,0.97,0.92,0.7,0.7,0.69,0.93,0.81,0.78,0.77,0.63,0.43,0.73
hazelcast.csv,0.85,0.54,0.46,0.67,0.05,0.89,0.77,0.68,0.86,0.61,0.48,0.66,0.78,0.67,0.88,0.65
jitterbit.csv,1.0,0.63,0.66,0.6,0.52,0.69,0.69,0.89,0.37,0.83,0.97,0.63,0.76,0.67,0.55,1.02
jppf-project.csv,1.0,0.89,0.77,0.8,0.8,0.95,0.75,0.84,0.89,0.95,0.81,0.46,0.68,0.61,0.74,0.82
kolmafia.csv,0.92,1.0,0.97,0.59,0.44,0.85,0.81,1.0,0.55,0.66,0.44,0.77,0.7,0.33,0.93,0.73
megasquirtavr.csv,0.79,1.0,0.51,0.9,1.02,0.92,0.73,0.81,0.58,0.85,1.0,0.7,0.99,0.88,0.74,1.08
qedo.csv,0.77,1.04,0.95,0.84,0.86,0.86,0.94,0.74,0.84,0.68,0.73,0.71,0.86,0.78,0.88,0.32
trackit.csv,0.94,1.0,0.96,0.85,0.77,0.84,0.54,1.0,0.89,0.72,1.05,1.0,1.0,0.99,0.86,0.95
wxlua.csv,0.73,0.93,0.82,0.9,1.01,0.86,0.72,0.95,0.66,0.65,1.0,0.9,0.75,0.89,0.66,0.86
x4x.csv,0.49,0.77,0.6,0.71,0.88,0.75,0.81,0.86,0.72,0.63,0.42,0.9,0.93,0.74,0.67,0.92
xharbour.csv,0.93,0.25,0.67,0.62,0.42,0.78,0.58,0.77,0.66,0.73,0.92,0.88,0.52,0.53,0.74,1.01
