,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,1.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,6.0,0.0,3.0,0.0
codesmith.csv,1.0,9.0,3.0,15.0,0.0,0.0,1.0,1.0,3.0,0.0,7.0,0.0
icescrum.csv,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0
ingex.csv,6.0,0.0,2.0,11.0,1.0,3.0,0.0,2.0,8.0,0.0,1.0,0.0
jrefactory.csv,5.0,1.0,1.0,9.0,1.0,3.0,0.0,1.0,3.0,1.0,2.0,0.0
jsecurity.csv,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0
libopenmetaverse.csv,12.0,1.0,0.0,11.0,1.0,0.0,0.0,3.0,8.0,3.0,3.0,0.0
lite.csv,4.0,2.0,0.0,8.0,0.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0
mobicents.csv,11.0,1.0,4.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0
opendvr.csv,5.0,2.0,5.0,3.0,3.0,1.0,0.0,2.0,4.0,0.0,4.0,0.0
openefm.csv,8.0,1.0,1.0,8.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,0.0
sidekar.csv,241.0,1.0,88.0,207.0,0.0,70.0,508.0,78.0,8.0,0.0,50.0,97.0
