,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.77,0.76,0.69,0.74,0.62,0.47,0.69,0.72,1.0,0.64,0.89,0.58
codesmith.csv,0.39,0.61,0.31,0.38,0.67,0.58,0.58,0.55,0.73,0.82,0.63,0.84
icescrum.csv,0.73,0.45,0.31,0.33,0.47,0.31,0.49,0.72,0.53,0.18,0.79,0.19
ingex.csv,0.8,0.52,0.49,0.62,0.92,0.61,0.78,0.59,0.87,0.55,0.95,0.41
jrefactory.csv,0.45,0.55,0.76,0.72,0.47,0.22,0.4,0.59,0.33,0.41,0.47,0.92
jsecurity.csv,0.2,0.45,0.29,0.64,0.19,0.58,0.3,0.31,0.4,0.09,0.16,0.69
libopenmetaverse.csv,0.98,1.0,1.0,1.0,1.0,0.64,0.99,0.9,1.0,0.27,1.0,0.77
lite.csv,0.2,0.55,0.65,0.36,0.23,0.69,0.65,0.34,0.67,0.64,0.89,0.16
mobicents.csv,0.8,0.64,0.43,0.46,0.47,0.75,0.67,0.93,0.47,0.95,0.89,0.22
opendvr.csv,0.73,0.58,0.39,0.49,0.56,0.92,0.61,0.62,0.67,0.68,0.58,0.41
openefm.csv,0.79,0.58,0.47,0.82,0.19,0.42,0.84,0.59,0.0,0.32,0.89,0.61
sidekar.csv,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,1.0,1.0,0.0,0.0
