,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.33,0.52,0.85,0.58,0.73,0.63,0.59,0.59,0.83,0.7,0.73,0.51
codesmith.csv,0.67,0.75,0.78,0.66,0.67,0.6,0.82,0.78,0.71,0.89,0.65,0.26
icescrum.csv,0.41,0.6,0.72,0.71,0.56,0.74,0.6,0.55,0.62,0.86,0.28,0.82
ingex.csv,0.69,0.59,0.63,0.74,0.69,0.69,0.71,0.49,0.96,0.62,0.66,0.71
jrefactory.csv,0.89,0.85,0.48,0.82,0.87,0.84,0.77,0.58,0.77,0.72,0.77,0.97
jsecurity.csv,0.81,0.57,0.84,0.44,0.82,0.71,0.74,0.72,0.63,0.91,0.84,0.67
libopenmetaverse.csv,1.0,0.99,0.97,1.0,0.92,0.46,1.0,0.91,0.93,0.81,0.97,0.45
lite.csv,0.83,0.59,0.75,0.68,0.77,0.7,0.56,0.85,0.39,0.55,1.01,0.91
mobicents.csv,0.53,0.55,0.76,0.58,0.54,0.95,0.47,0.84,0.62,0.91,0.63,0.87
opendvr.csv,0.47,0.54,0.92,0.55,0.51,0.97,0.53,0.63,0.57,0.41,0.56,0.84
openefm.csv,0.77,0.52,0.93,0.67,0.81,0.64,0.77,0.55,1.0,0.77,0.63,0.73
sidekar.csv,1.0,0.72,1.0,1.0,0.35,1.0,1.0,1.0,0.98,1.0,1.0,1.0
