,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,pixel-commandos.csv
cornerstone.csv,0.54,0.68,0.48,0.8,0.72,0.56,0.52,0.55,0.61,0.64,0.03,0.9,0.59,0.91,0.52,0.47,0.66
emeraldemu.csv,0.68,0.59,0.47,0.74,0.7,0.7,0.7,0.08,0.8,0.66,0.68,0.84,0.55,0.7,0.65,0.85,0.35
grafx2.csv,0.57,0.51,0.52,0.61,0.76,0.72,0.74,0.53,0.7,0.75,0.76,0.64,0.52,0.04,0.51,0.32,0.78
jahshakafx.csv,0.05,0.66,0.65,0.88,0.82,0.87,0.81,0.72,0.89,0.84,0.81,0.87,0.71,0.52,0.81,0.76,0.75
kindb.csv,0.38,0.45,0.47,0.44,0.7,0.63,0.59,0.48,0.55,0.52,0.52,0.5,0.44,0.37,0.38,0.0,0.45
maya-work-in-progress.csv,0.42,0.56,0.52,0.47,0.6,0.57,0.66,0.58,0.57,0.06,0.87,0.54,0.65,0.63,0.45,0.41,0.61
novembre.csv,0.44,0.64,0.49,0.64,0.8,0.86,0.07,0.59,0.88,0.91,0.71,0.89,0.68,0.93,0.7,0.94,0.28
ns-3.csv,0.51,0.63,0.67,0.7,0.66,0.01,0.66,0.67,0.7,0.63,0.64,0.65,0.49,0.88,0.53,0.64,0.78
nullc.csv,0.89,0.94,0.99,0.98,0.0,0.85,0.93,0.81,0.92,0.89,0.66,0.88,0.98,0.95,0.88,0.94,0.76
open-beos.csv,0.43,0.51,0.5,0.49,0.73,0.64,0.72,0.44,0.08,0.59,0.65,0.67,0.53,0.62,0.51,0.62,0.48
pixel-commandos.csv,0.98,0.98,1.0,0.92,0.92,1.0,1.0,0.99,0.99,1.0,1.0,1.0,0.99,1.0,0.96,1.0,0.0
planeshift.csv,0.44,0.5,0.69,0.46,0.64,0.62,0.8,0.49,0.54,0.58,0.63,0.65,0.03,0.45,0.42,0.41,0.8
plee-the-bear.csv,0.95,0.98,0.15,1.0,1.07,0.95,0.89,0.93,0.97,0.99,0.8,0.96,0.88,0.96,0.95,0.93,1.03
reaper-ecad.csv,0.79,0.89,0.79,0.04,0.86,0.8,0.93,0.8,0.99,0.71,0.73,0.93,0.8,1.0,0.75,0.97,1.0
sbml.csv,0.53,0.76,0.64,0.78,0.66,0.62,0.84,0.64,0.72,0.67,0.64,0.79,0.57,0.88,0.03,1.0,0.56
unimrcp.csv,0.5,0.57,0.4,0.73,0.68,0.85,0.55,0.61,0.73,0.81,0.71,0.04,0.76,0.77,0.72,0.71,0.79
unladen-swallow.csv,0.89,0.4,0.91,0.96,0.8,0.75,0.66,0.91,0.97,0.97,0.8,0.79,0.72,0.7,0.86,0.83,0.75
