,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,pixel-commandos.csv
cornerstone.csv,0.45,0.72,0.47,0.95,0.47,0.47,0.41,0.53,0.5,0.58,0.47,0.92,0.41,0.83,0.45,0.39,0.41
emeraldemu.csv,0.64,0.69,0.63,0.56,0.67,0.69,0.69,0.64,0.97,0.62,0.45,0.95,0.41,0.79,0.52,0.8,0.52
grafx2.csv,0.59,0.52,0.56,0.71,0.67,0.67,0.48,0.59,0.67,0.7,0.51,0.64,0.44,0.44,0.47,0.38,0.79
jahshakafx.csv,0.51,0.77,0.87,0.9,0.67,0.96,0.89,0.99,0.96,0.8,0.73,0.94,0.65,0.52,0.94,0.67,0.88
kindb.csv,0.35,0.38,0.47,0.44,0.38,0.43,0.34,0.41,0.41,0.45,0.32,0.39,0.35,0.29,0.36,0.38,0.4
maya-work-in-progress.csv,0.37,0.48,0.43,0.46,0.43,0.4,0.33,0.41,0.4,0.5,0.38,0.5,0.34,0.58,0.4,0.27,0.39
novembre.csv,0.47,0.55,0.68,0.79,0.6,0.96,0.71,0.76,0.96,0.67,0.78,0.8,0.62,0.75,0.71,0.5,0.79
ns-3.csv,0.47,0.58,0.5,0.71,0.47,0.5,0.38,0.44,0.65,0.65,0.5,0.42,0.39,0.73,0.51,0.56,0.52
nullc.csv,0.55,0.52,0.41,0.54,0.46,0.43,0.37,0.41,0.43,0.51,0.48,0.46,0.36,0.53,0.41,0.45,0.49
open-beos.csv,0.44,0.52,0.6,0.57,0.53,0.54,0.41,0.51,0.59,0.64,0.44,0.7,0.43,0.61,0.48,0.54,0.42
pixel-commandos.csv,0.5,0.98,0.67,0.86,0.75,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.75
planeshift.csv,0.39,0.42,0.45,0.44,0.42,0.5,0.34,0.39,0.37,0.55,0.48,0.39,0.37,0.35,0.41,0.27,0.44
plee-the-bear.csv,0.76,1.0,0.96,0.0,0.6,0.48,0.42,0.51,0.48,0.49,0.41,0.48,0.53,0.79,0.6,0.51,0.49
reaper-ecad.csv,0.97,0.99,0.98,0.96,0.86,0.82,0.0,0.98,0.75,0.84,0.66,0.67,0.94,0.0,0.86,0.0,0.83
sbml.csv,0.45,0.5,0.48,0.52,0.49,0.45,0.35,0.37,0.38,0.56,0.34,0.43,0.34,0.55,0.39,0.45,0.4
unimrcp.csv,0.53,0.55,0.63,0.68,0.5,0.84,0.75,0.79,0.81,0.86,0.78,0.65,0.76,0.67,0.71,0.6,0.65
unladen-swallow.csv,0.94,1.0,0.89,0.93,0.92,0.9,0.82,0.96,0.88,0.5,0.48,0.82,0.59,0.69,0.63,0.86,0.0
