,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,pixel-commandos.csv
cornerstone.csv,0.55,0.34,0.7,0.21,0.3,0.59,0.73,0.54,0.45,0.38,0.98,0.11,0.6,0.09,0.5,0.53,0.5
emeraldemu.csv,0.49,0.55,0.58,0.88,0.4,0.32,0.33,0.92,0.21,0.34,0.63,0.19,0.61,0.3,0.47,0.15,0.75
grafx2.csv,0.46,0.58,0.64,0.46,0.26,0.35,0.4,0.51,0.35,0.25,0.35,0.41,0.52,0.98,0.59,0.71,0.25
jahshakafx.csv,0.95,0.35,0.36,0.12,0.18,0.13,0.2,0.29,0.11,0.16,0.22,0.15,0.3,0.49,0.2,0.26,0.25
kindb.csv,0.79,0.82,0.7,0.83,0.36,0.49,0.73,0.68,0.56,0.5,0.73,0.81,0.66,0.7,0.68,1.0,1.0
maya-work-in-progress.csv,0.85,0.74,0.88,0.75,0.52,0.51,0.87,0.71,0.6,0.94,0.82,0.56,0.76,0.37,0.71,0.74,0.75
novembre.csv,0.59,0.59,0.55,0.38,0.2,0.14,0.93,0.41,0.12,0.09,0.31,0.11,0.33,0.07,0.3,0.06,0.75
ns-3.csv,0.64,0.65,0.79,0.62,0.34,0.99,0.87,0.64,0.38,0.47,0.49,0.7,0.64,0.44,0.57,0.41,0.5
nullc.csv,0.83,0.86,0.91,1.0,1.0,0.8,1.0,0.81,0.9,0.81,0.53,0.93,0.91,0.95,0.88,1.0,1.0
open-beos.csv,0.66,0.59,0.58,0.62,0.32,0.46,0.4,0.66,0.92,0.44,0.69,0.44,0.58,0.4,0.51,0.38,0.75
pixel-commandos.csv,0.02,0.02,0.0,0.08,0.08,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.04,0.0,1.0
planeshift.csv,0.87,0.76,0.82,0.79,0.42,0.63,1.0,0.81,0.69,0.72,0.43,0.7,0.99,0.6,0.64,0.74,0.75
plee-the-bear.csv,0.37,0.1,0.85,0.0,0.62,0.78,0.67,0.48,0.69,0.88,0.65,0.67,0.55,0.42,0.46,0.68,0.5
reaper-ecad.csv,0.21,0.11,0.21,0.96,0.14,0.21,0.07,0.21,0.01,0.31,0.35,0.07,0.2,0.0,0.25,0.03,0.0
sbml.csv,0.7,0.85,0.82,0.83,0.62,0.66,0.73,0.85,0.82,0.66,0.71,0.93,0.84,0.88,1.0,0.97,1.0
unimrcp.csv,0.54,0.47,0.64,0.29,0.38,0.17,0.47,0.4,0.27,0.19,0.31,0.96,0.24,0.23,0.28,0.29,0.25
unladen-swallow.csv,0.11,0.6,0.09,0.04,0.22,0.32,0.4,0.09,0.03,0.03,0.55,0.33,0.44,0.3,0.49,0.18,0.25
