,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.29,0.72,0.17,0.65,0.69,0.71,0.53,0.41,0.38,0.26,0.67,0.58,0.65,0.57,0.46,0.3,0.62,0.59
betoffice.csv,0.53,0.34,0.42,0.38,0.0,0.44,0.17,0.6,0.28,0.39,0.44,0.38,0.38,0.2,0.35,0.73,0.44,0.6
bionote.csv,0.39,0.72,0.35,0.21,0.38,0.0,0.18,0.37,0.37,0.24,0.12,0.4,0.87,0.48,0.43,0.21,0.51,0.49
bnetd.csv,0.48,0.0,0.38,0.53,0.38,0.47,0.37,0.0,0.64,0.47,0.72,0.0,0.59,0.7,0.48,0.21,0.34,0.46
elvishrayrenderer.csv,0.5,0.46,0.06,0.73,0.76,0.72,0.14,0.05,0.23,0.56,0.33,0.42,0.83,0.68,0.44,0.17,0.63,0.7
emisview.csv,0.33,0.0,0.29,0.41,0.49,0.71,0.2,0.19,0.57,0.0,0.42,0.4,0.53,0.55,0.25,0.11,0.52,0.04
findbugs.csv,0.0,0.71,0.13,0.47,0.64,0.55,0.54,0.53,0.72,0.18,0.38,0.52,0.53,0.6,0.52,0.21,0.44,0.62
hazelcast.csv,0.46,0.64,0.63,0.61,0.96,0.42,0.53,0.57,0.47,0.48,0.6,0.67,0.61,0.67,0.46,0.71,0.68,0.58
jitterbit.csv,0.0,0.69,0.49,0.69,0.69,0.51,0.36,0.02,0.71,0.2,0.32,0.4,0.51,0.65,0.67,0.06,0.63,0.63
jppf-project.csv,0.47,0.4,0.47,0.26,0.32,0.34,0.54,0.46,0.4,0.45,0.38,0.76,0.4,0.52,0.6,0.38,0.53,0.41
kolmafia.csv,0.0,0.66,0.05,0.74,0.75,0.09,0.39,0.0,0.57,0.52,0.76,0.58,0.36,0.69,0.09,0.17,0.59,0.62
megasquirtavr.csv,0.0,0.0,0.63,0.46,0.0,0.0,0.41,0.39,0.6,0.63,0.0,0.39,0.33,0.45,0.46,0.32,0.49,0.44
qedo.csv,0.17,0.26,0.12,0.31,0.11,0.11,0.2,0.42,0.27,0.54,0.37,0.34,0.14,0.3,0.21,0.77,0.16,0.24
stajistics.csv,0.53,0.2,0.0,0.41,0.69,0.64,0.18,0.45,0.41,0.59,0.58,0.38,0.71,0.0,0.48,0.7,0.72,0.47
trackit.csv,0.42,0.3,0.53,0.11,0.19,0.11,0.63,0.21,0.45,0.3,0.38,0.37,0.0,0.2,0.21,0.11,0.23,0.31
wxlua.csv,0.53,0.35,0.49,0.46,0.34,0.46,0.57,0.02,0.52,0.61,0.13,0.0,0.34,0.49,0.43,0.43,0.31,0.51
x4x.csv,0.72,0.4,0.41,0.46,0.0,0.3,0.45,0.56,0.41,0.0,0.32,0.53,0.28,0.46,0.61,0.42,0.5,0.37
xharbour.csv,0.29,0.79,0.72,0.61,0.67,0.59,0.68,0.52,0.61,0.54,0.56,0.39,0.78,0.63,0.62,0.37,0.69,0.61
