,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.88,0.76,1.0,0.64,0.69,0.83,0.54,0.89,0.95,0.22,0.69,0.61,0.75,0.55,0.46,0.41,0.6,0.68
betoffice.csv,0.52,0.74,0.4,0.95,0.78,0.74,0.83,0.64,0.25,0.9,0.72,0.84,0.62,0.89,0.75,0.95,0.77,0.76
bionote.csv,0.36,0.69,0.3,0.18,0.33,0.0,0.15,0.36,0.32,0.2,0.1,0.38,0.88,0.45,0.39,0.18,0.47,0.47
bnetd.csv,0.9,1.0,0.85,0.5,0.38,0.43,0.34,1.0,0.72,0.44,0.69,0.98,0.88,0.7,0.57,0.95,0.87,0.79
elvishrayrenderer.csv,0.48,0.52,0.05,0.86,0.75,0.7,0.12,0.04,0.19,0.64,0.28,0.5,0.88,0.72,0.46,0.14,0.6,0.68
emisview.csv,0.29,0.0,0.25,0.36,0.44,0.7,0.17,0.16,0.53,0.0,0.38,0.4,0.5,0.55,0.21,0.09,0.47,0.03
findbugs.csv,0.88,0.75,0.85,0.45,0.89,0.83,0.51,0.67,0.72,0.15,0.97,0.52,0.62,0.62,0.5,0.18,0.93,0.79
hazelcast.csv,0.81,0.66,0.6,0.73,0.95,0.96,0.66,0.62,0.85,0.45,0.59,0.82,0.88,0.91,0.64,0.86,0.8,0.59
jitterbit.csv,0.95,0.98,0.45,0.77,0.84,0.52,0.32,0.02,0.69,0.17,0.92,0.36,0.88,0.77,0.75,0.05,0.67,0.62
jppf-project.csv,0.6,0.46,0.8,0.23,0.71,0.35,0.85,0.87,0.57,0.57,0.49,0.74,0.38,0.51,0.68,0.36,0.53,0.53
kolmafia.csv,1.0,0.91,1.0,0.86,0.76,0.96,0.8,1.0,0.88,0.53,0.87,0.87,1.0,0.7,0.86,1.0,0.9,0.79
megasquirtavr.csv,0.98,1.0,0.6,0.68,0.98,1.0,0.88,0.78,0.66,0.67,1.0,0.89,0.75,0.64,0.75,0.91,0.77,0.59
qedo.csv,0.14,0.39,0.1,0.27,0.09,0.09,0.17,0.38,0.24,0.61,0.33,0.3,0.12,0.26,0.18,0.77,0.13,0.21
stajistics.csv,0.62,0.9,0.0,0.86,0.67,1.0,0.15,0.42,0.4,0.89,0.64,0.84,0.88,1.0,0.64,0.68,0.7,0.85
trackit.csv,0.4,0.26,0.5,0.09,0.16,0.09,0.68,0.18,0.41,0.26,0.36,0.32,0.0,0.17,0.18,0.09,0.2,0.29
wxlua.csv,0.5,0.8,0.45,0.82,0.35,0.43,0.59,0.02,0.5,0.61,0.92,0.75,0.62,0.57,0.39,0.82,0.27,0.65
x4x.csv,0.76,0.51,0.8,0.5,0.58,0.26,0.76,0.71,0.54,0.78,0.85,0.73,0.25,0.74,0.68,0.95,0.57,0.88
xharbour.csv,0.86,0.77,0.95,0.64,0.64,0.7,0.76,0.58,0.67,0.55,0.74,0.39,0.88,0.64,0.86,0.41,0.87,0.62
