,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv
acdk.csv,0.5,0.59,0.73,0.86,0.7,0.72,0.66,0.67,0.39,0.87,0.58,0.76,0.07,0.56,0.69,0.77
amygdala.csv,0.69,0.84,0.82,0.76,0.89,0.7,0.69,0.88,0.94,1.0,0.71,0.0,0.78,0.5,0.6,0.83
awemud.csv,0.03,0.53,0.88,0.88,0.55,0.67,0.45,0.81,0.35,0.92,0.66,0.65,0.44,0.56,0.8,0.73
bullet.csv,0.85,0.57,0.98,0.91,0.88,0.01,0.82,0.99,0.85,0.8,0.71,0.74,0.83,0.84,0.63,0.85
customwars.csv,0.87,0.86,0.89,0.62,0.76,0.84,0.81,0.44,1.0,0.83,0.12,0.84,0.55,0.79,0.67,0.79
dvd-create.csv,0.79,0.83,0.63,0.91,0.01,0.67,0.81,0.64,0.64,0.73,0.75,0.75,0.86,0.66,0.62,0.45
gbif-indexingtoolkit.csv,0.79,0.94,0.76,1.07,0.91,0.83,0.79,0.0,0.79,1.0,0.61,0.98,0.77,0.87,0.92,0.93
go.csv,0.66,0.03,0.62,0.68,0.51,0.58,0.57,0.8,0.53,0.68,0.85,0.71,0.52,0.4,0.81,0.82
gss.csv,0.79,0.97,0.62,0.79,0.84,0.93,0.62,0.62,0.88,0.74,0.8,1.0,0.85,0.62,0.84,0.0
kwave.csv,0.62,0.96,0.06,0.92,0.95,0.7,0.59,0.69,0.8,0.73,0.76,0.8,0.72,0.48,0.7,0.44
lsb.csv,0.74,0.72,0.85,0.24,0.63,0.81,0.84,0.75,0.58,1.0,0.98,0.71,0.86,0.89,0.85,0.76
mpgravity.csv,0.44,0.67,0.98,0.91,0.65,0.75,0.58,0.63,0.34,0.08,0.59,0.68,0.68,0.58,0.79,0.72
qcad2.csv,0.64,0.56,0.82,0.96,0.72,0.81,0.02,0.6,0.69,1.0,0.64,0.82,0.67,0.59,0.76,0.72
qtwin.csv,0.99,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.33,1.0,1.0,1.0,1.0,1.0,1.0,0.97
roller.csv,0.83,0.63,0.64,0.98,0.94,0.75,0.67,0.61,1.02,0.75,0.7,0.57,0.88,0.04,0.83,0.52
xinity.csv,0.66,0.53,0.59,0.89,0.46,0.72,0.75,0.81,0.66,1.0,0.68,0.48,0.81,0.64,0.0,0.88
