,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv
avifile.csv,0.98,0.94,0.83,0.76,0.83,0.75,0.83,0.68,0.61,0.54,0.48,0.31,0.79,0.95,0.55,0.67,0.79,0.48,0.46,0.83
baadengine.csv,0.48,0.35,0.56,0.38,0.41,0.49,0.54,0.36,0.36,0.37,0.44,0.29,0.4,0.35,0.39,0.33,0.37,0.39,0.44,0.52
bibedt.csv,0.99,0.92,0.53,0.5,0.52,0.54,0.52,0.7,0.42,0.9,0.54,0.57,0.8,0.46,0.96,0.59,0.66,0.55,0.56,0.4
cascading.csv,0.45,0.5,0.39,0.51,0.38,0.56,0.63,0.42,0.44,0.72,0.58,0.36,0.61,0.41,0.5,0.46,0.44,0.52,0.67,0.83
dataobjectsdotnet.csv,0.43,0.34,0.44,0.64,0.64,0.92,0.52,0.57,0.99,0.48,0.5,0.77,0.34,0.57,0.56,0.53,0.67,0.62,0.51,0.0
gnome-jabber.csv,0.68,0.73,0.96,0.55,0.65,0.83,0.88,0.81,0.93,0.42,0.62,0.34,0.53,0.52,0.56,0.52,0.73,0.72,0.4,0.48
gogoego.csv,0.86,0.5,0.49,0.64,0.48,0.49,0.5,0.6,0.5,0.34,0.57,0.75,0.38,0.67,0.57,0.43,0.39,0.54,0.83,0.32
httpcontentparser.csv,0.59,0.5,0.57,0.74,0.52,0.88,0.5,0.45,0.4,0.8,0.65,0.39,0.53,0.46,0.49,0.52,0.58,0.58,0.78,0.5
impala.csv,0.98,0.46,0.88,0.53,0.5,0.54,0.62,0.48,0.54,0.78,0.47,0.65,0.47,0.38,0.95,0.81,0.82,0.66,0.61,0.71
jaxlib.csv,0.59,0.74,0.98,0.53,0.47,0.61,0.54,0.59,0.98,0.61,0.49,0.8,0.64,0.43,0.96,0.74,0.63,0.83,0.68,0.8
jgameai.csv,0.96,0.94,0.5,0.8,0.83,0.8,0.94,0.96,0.97,0.67,0.98,0.67,0.87,0.95,0.0,0.93,0.5,0.92,0.0,0.98
jhotdraw.csv,0.54,0.57,0.44,0.65,0.44,0.68,0.0,0.41,0.84,0.79,0.89,0.4,0.92,0.91,0.58,0.71,0.49,0.74,0.86,0.97
loki-lib.csv,0.81,0.41,0.46,0.41,0.42,0.56,0.55,0.38,0.42,0.36,0.5,0.37,0.42,0.35,0.65,0.44,0.52,0.44,0.48,0.5
patterntesting.csv,0.42,0.36,0.38,0.41,0.4,0.51,0.53,0.36,0.37,0.57,0.45,0.3,0.42,0.38,0.41,0.34,0.39,0.45,0.46,0.47
pokeglobal.csv,0.49,0.44,0.4,0.78,0.49,0.61,0.54,0.7,0.47,0.52,0.68,0.55,0.39,0.65,0.63,0.56,0.53,0.81,0.86,0.67
snakeyaml.csv,0.53,0.44,0.58,0.56,0.39,0.4,0.48,0.61,0.37,0.56,0.62,0.4,0.86,0.53,0.66,0.79,0.5,0.55,0.75,0.5
unflobtactical.csv,0.44,0.46,0.43,0.53,0.59,0.53,0.9,0.56,0.49,0.63,0.51,0.62,0.5,0.38,0.98,0.55,0.55,0.62,0.6,0.56
werx.csv,0.42,0.42,0.37,0.41,0.4,0.48,0.54,0.38,0.36,0.43,0.46,0.31,0.39,0.38,0.41,0.33,0.4,0.43,0.45,0.52
zealos.csv,0.74,0.91,0.53,0.94,0.8,0.93,0.6,0.98,0.93,0.72,0.95,0.69,0.67,0.88,0.83,0.88,0.67,0.97,0.91,0.67
