,arianne.csv,knowledge.csv,bl-toolkit.csv,voms.csv,amateur-scrolls.csv,micomt.csv,kml.csv,ultimairis.csv,sigil.csv,auber.csv,lufa-lib.csv,lportal.csv,les-indemodables.csv,keyczar.csv,growl-for-windows.csv
amateur-scrolls.csv,0.25,0.18,0.32,0.44,0.9,0.23,0.36,0.06,0.21,0.12,0.34,0.53,0.59,0.06,0.17
arianne.csv,0.99,0.5,0.64,0.78,0.9,0.54,0.28,0.66,0.69,0.67,0.45,0.47,0.32,0.44,0.56
auber.csv,0.25,0.79,0.66,0.44,0.65,0.46,0.5,0.23,0.56,0.97,0.45,0.76,0.65,0.06,0.08
bl-toolkit.csv,0.36,0.48,0.96,0.0,0.3,0.54,0.64,0.11,0.56,0.34,0.99,0.69,0.92,0.4,0.31
growl-for-windows.csv,0.68,0.68,0.52,0.44,0.7,0.62,0.53,0.53,0.67,0.49,0.61,0.68,0.73,0.31,0.97
keyczar.csv,0.27,0.03,0.14,0.56,0.1,0.23,0.56,0.34,0.23,0.43,0.43,0.03,0.16,1.0,0.19
kml.csv,0.5,0.77,0.36,0.22,0.8,0.31,1.0,0.6,0.79,0.79,0.91,0.8,0.76,0.46,0.28
knowledge.csv,0.85,0.98,0.86,0.89,1.0,1.0,0.94,0.87,0.98,0.88,0.98,0.99,0.95,0.98,0.58
les-indemodables.csv,0.11,0.24,0.26,0.11,0.5,0.08,0.17,0.36,0.38,0.27,0.28,0.42,0.95,0.33,0.39
lportal.csv,0.44,0.23,0.34,0.0,0.2,0.23,0.25,0.34,0.02,0.21,0.24,0.84,0.38,0.12,0.67
lufa-lib.csv,0.41,0.52,0.46,0.78,0.8,0.54,0.64,0.23,0.42,0.43,0.97,0.53,0.54,0.27,0.67
micomt.csv,0.79,0.82,0.84,0.44,0.8,0.85,0.78,0.98,0.79,0.85,0.68,0.9,0.92,0.44,0.89
sigil.csv,0.34,0.71,0.48,0.33,0.95,0.46,0.17,0.57,0.94,0.39,0.28,0.59,0.65,0.21,0.19
ultimairis.csv,0.91,0.98,1.0,1.0,0.95,0.69,0.97,0.85,0.9,0.88,0.88,0.86,0.95,0.96,0.86
voms.csv,0.1,0.18,0.22,1.0,0.05,0.0,0.36,0.21,0.19,0.15,0.09,0.22,0.16,0.08,0.17
