,arianne.csv,knowledge.csv,bl-toolkit.csv,voms.csv,amateur-scrolls.csv,micomt.csv,kml.csv,ultimairis.csv,sigil.csv,auber.csv,lufa-lib.csv,lportal.csv,les-indemodables.csv,keyczar.csv,growl-for-windows.csv
amateur-scrolls.csv,0.68,1.0,0.84,0.24,1.0,0.5,0.81,1.0,0.69,0.67,0.54,0.07,0.67,0.6,0.75
arianne.csv,1.0,0.97,0.73,0.16,0.43,0.29,0.5,0.35,0.64,0.66,0.36,0.04,0.27,0.78,0.61
auber.csv,0.65,0.96,0.73,0.1,0.57,0.32,0.64,0.79,0.67,1.0,0.64,0.05,0.57,0.75,0.43
bl-toolkit.csv,0.62,0.97,1.0,0.0,0.26,0.33,0.59,0.24,0.64,0.5,0.43,0.06,0.39,0.79,0.58
growl-for-windows.csv,0.44,0.91,0.72,0.2,0.52,0.32,0.45,0.38,0.65,0.7,0.46,0.06,0.45,0.68,1.0
keyczar.csv,0.54,0.67,0.58,0.19,0.15,0.06,0.45,0.29,0.55,0.51,0.37,0.01,0.29,0.98,0.7
kml.csv,0.65,0.96,0.67,0.06,0.39,0.27,0.97,0.38,0.75,0.63,0.49,0.07,0.42,0.81,0.56
knowledge.csv,0.57,1.0,0.7,0.13,0.34,0.2,0.5,0.29,0.59,0.54,0.43,0.04,0.37,0.77,0.6
les-indemodables.csv,0.52,1.0,0.76,0.11,0.53,0.11,0.55,0.46,0.87,0.56,0.53,0.07,1.0,0.94,0.74
lportal.csv,0.39,0.82,0.52,0.0,0.11,0.16,0.23,0.34,0.07,0.36,0.28,0.96,0.3,0.46,0.73
lufa-lib.csv,0.43,0.94,0.85,0.13,0.4,0.16,0.62,0.26,0.67,0.58,0.99,0.06,0.33,0.93,0.73
micomt.csv,0.47,0.91,0.67,0.07,0.34,0.85,0.46,0.31,0.63,0.57,0.37,0.04,0.41,0.68,0.68
sigil.csv,0.7,0.98,0.86,0.23,0.43,0.5,1.0,0.33,0.98,0.7,0.61,0.06,0.44,0.91,0.88
ultimairis.csv,0.52,0.92,0.69,0.12,0.36,0.28,0.47,0.95,0.57,0.56,0.42,0.04,0.38,0.77,0.66
voms.csv,0.53,0.92,0.52,0.9,0.14,0.0,0.62,0.24,0.91,0.71,0.92,0.08,0.46,0.8,0.43
