,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,0.64,0.52,0.62,0.61,0.59,0.5,0.78,0.26,0.79,0.61,0.64,0.77,0.27,0.5,0.66
emulemorph.csv,0.12,0.12,0.09,0.79,0.06,0.04,0.0,0.0,0.0,0.18,0.23,0.05,0.0,0.0,0.05
fceugc.csv,0.66,0.48,0.0,0.74,0.75,0.24,0.27,0.29,0.48,0.5,0.43,0.34,0.73,0.57,0.46
gnukeda.csv,0.31,0.79,0.53,0.46,0.48,0.85,0.49,0.12,0.29,0.43,0.4,0.47,0.65,0.52,0.57
gusanos.csv,0.04,0.37,0.72,0.37,0.23,0.22,0.31,0.83,0.11,0.3,0.41,0.5,0.47,0.14,0.41
micomt.csv,0.63,0.13,0.62,0.58,0.66,0.0,0.9,0.27,0.47,0.5,0.57,0.63,0.0,0.53,0.46
modplug.csv,0.49,0.13,0.73,0.33,0.54,0.0,0.65,0.67,0.52,0.78,0.7,0.46,0.69,0.56,0.59
ogre.csv,0.47,0.62,0.47,0.36,0.51,0.95,0.53,0.4,0.5,0.51,0.37,0.52,0.0,0.52,0.5
openfrag.csv,0.37,0.59,0.6,0.57,0.63,0.0,0.5,0.59,0.38,0.64,0.72,0.67,0.21,0.58,0.59
oscarmcmaster.csv,0.72,0.52,0.62,0.56,0.58,0.22,0.75,0.5,0.31,0.49,0.61,0.65,0.64,0.62,0.55
pidgin.csv,0.72,0.4,0.65,0.0,0.12,0.0,0.51,0.63,0.21,0.32,0.47,0.45,0.62,0.31,0.53
repositorium.csv,0.0,0.3,0.05,0.2,0.5,0.59,0.1,0.42,0.73,0.29,0.09,0.33,0.67,0.37,0.38
unimrcp.csv,0.22,0.21,0.79,0.37,0.22,0.19,0.35,0.46,0.11,0.48,0.37,0.35,0.64,0.42,0.59
xapian.csv,0.59,0.65,0.41,0.57,0.68,0.0,0.59,0.31,0.6,0.69,0.47,0.72,0.0,0.81,0.57
xqilla.csv,0.2,0.25,0.13,0.63,0.41,0.34,0.23,0.04,0.36,0.4,0.27,0.3,0.99,0.33,0.37
