,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.88,0.92,0.03,0.94,1.0,1.0,0.41,0.8,0.85,0.95,0.96
haphazard.csv,0.55,0.32,0.45,0.38,0.29,0.42,0.41,0.32,0.69,0.68,0.9
jicarilla.csv,0.03,0.0,0.91,0.0,0.0,0.0,0.03,0.41,0.0,0.0,0.02
jruby.csv,1.0,0.68,0.33,0.44,0.71,0.53,0.0,0.98,0.54,0.36,0.72
optalgtoolkit.csv,0.34,0.35,0.73,0.44,0.14,0.74,0.3,0.93,0.38,0.59,0.12
ossim.csv,0.26,0.24,0.18,0.81,0.14,0.42,0.41,0.82,0.31,0.14,0.25
projectts.csv,0.71,0.7,0.06,0.75,1.0,0.74,0.73,0.07,0.69,0.27,0.92
qedo.csv,0.07,0.05,0.52,0.06,0.0,0.68,0.08,0.77,0.38,0.82,0.06
sabbu.csv,0.69,0.7,0.12,0.69,0.86,0.11,0.49,0.11,0.54,0.14,0.67
vxl.csv,0.57,0.41,0.12,0.5,0.57,0.37,0.35,0.16,0.54,0.5,0.7
zact.csv,0.52,0.03,0.45,0.62,0.57,0.05,0.57,0.43,0.15,0.5,0.29
