,paintown.csv,google-collections.csv,smbopensoft.csv,open-media-library.csv,forester-atv.csv,openefm.csv,badtrinitycore.csv,trackit.csv,jbpm.csv,nassp.csv,oppna-program-hsatools.csv,bulmages.csv,st-filteredstatistics.csv,projectfactory.csv,hannosset.csv,wxstudio.csv,opendvr.csv,mevenide.csv,thedata.csv
badtrinitycore.csv,0.16,0.36,0.03,0.48,0.54,0.21,0.87,0.32,0.25,0.75,0.24,0.71,0.21,0.1,0.5,0.41,0.0,0.52,0.25
bulmages.csv,0.06,0.0,0.06,0.05,0.15,0.06,0.17,0.0,0.12,0.25,0.07,0.9,0.08,0.0,0.0,0.03,0.0,0.14,0.25
forester-atv.csv,0.06,0.2,0.56,0.22,0.96,0.15,0.0,0.12,0.1,0.0,0.07,0.05,0.18,0.05,0.0,0.0,0.0,0.07,0.25
google-collections.csv,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.98,0.96,1.0,0.94,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0
hannosset.csv,0.0,0.0,0.01,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.15,0.67,0.03,0.05,0.03,0.0
jbpm.csv,0.0,0.42,0.0,0.15,0.35,0.21,0.06,0.34,0.9,0.0,0.07,0.0,0.13,0.05,0.0,0.08,0.0,0.0,0.25
mevenide.csv,0.4,0.02,0.03,0.25,0.38,0.21,0.17,0.02,0.23,0.58,0.23,0.14,0.26,0.15,0.0,0.27,0.14,0.9,0.25
nassp.csv,0.28,0.3,0.41,0.42,0.73,0.55,0.36,0.39,0.56,1.0,0.43,0.38,0.74,0.44,0.33,0.16,0.18,0.41,0.25
open-media-library.csv,0.41,0.12,0.48,0.92,0.69,0.55,0.57,0.56,0.35,0.75,0.62,0.67,0.41,0.59,0.5,0.54,0.41,0.66,0.0
opendvr.csv,0.59,0.9,0.51,0.7,0.54,0.52,0.49,0.9,0.52,0.33,0.78,0.38,0.67,0.79,0.67,0.76,1.0,0.45,0.25
openefm.csv,0.4,0.35,0.15,0.35,0.58,0.94,0.45,0.29,0.62,0.67,0.28,0.43,0.28,0.36,0.5,0.19,0.09,0.21,0.25
oppna-program-hsatools.csv,1.0,0.95,1.0,0.88,1.0,0.97,1.0,0.95,0.98,1.0,1.0,0.95,0.87,1.0,1.0,0.89,1.0,1.0,0.75
paintown.csv,0.97,0.45,0.3,0.57,0.81,0.55,0.7,0.46,0.48,0.83,0.55,0.62,0.62,0.44,0.67,0.41,0.45,0.72,0.25
projectfactory.csv,0.03,0.15,0.47,0.32,0.46,0.36,0.19,0.12,0.23,0.08,0.18,0.24,0.82,1.0,0.17,0.08,0.27,0.17,0.25
smbopensoft.csv,0.22,0.4,0.95,0.6,0.46,0.3,0.36,0.22,0.44,0.08,0.21,0.14,0.64,0.21,0.67,0.24,0.32,0.07,0.0
st-filteredstatistics.csv,0.53,0.46,0.46,0.7,0.69,0.48,0.77,0.34,0.65,0.75,0.56,0.43,1.0,0.69,0.67,0.46,0.36,0.66,0.25
thedata.csv,0.25,0.12,0.97,0.2,0.0,0.39,0.0,0.07,0.08,0.42,0.19,0.29,0.1,0.64,0.17,0.11,0.32,0.03,0.75
trackit.csv,0.37,0.62,0.11,0.4,0.73,0.67,0.3,1.0,0.63,0.58,0.52,0.33,0.54,0.51,0.67,0.41,0.77,0.55,0.5
wxstudio.csv,0.44,0.15,0.12,0.38,0.23,0.18,0.4,0.29,0.15,0.5,0.21,0.71,0.05,0.18,0.17,0.97,0.55,0.38,0.5
