,paintown.csv,google-collections.csv,smbopensoft.csv,open-media-library.csv,forester-atv.csv,openefm.csv,badtrinitycore.csv,trackit.csv,jbpm.csv,nassp.csv,oppna-program-hsatools.csv,bulmages.csv,st-filteredstatistics.csv,projectfactory.csv,hannosset.csv,wxstudio.csv,opendvr.csv,mevenide.csv,thedata.csv
badtrinitycore.csv,0.94,0.74,0.8,0.65,0.5,0.88,0.98,0.95,0.99,0.44,0.85,0.48,0.77,0.9,0.39,0.76,0.0,0.75,0.81
bulmages.csv,0.86,0.0,0.89,0.75,0.83,0.8,0.94,0.0,0.92,0.75,0.88,0.89,0.67,0.0,0.0,0.75,0.0,0.95,0.0
forester-atv.csv,0.9,0.81,0.57,0.92,0.52,0.93,0.89,0.83,0.95,0.67,0.89,0.8,0.9,0.67,0.75,0.75,0.0,0.75,0.0
google-collections.csv,0.43,0.39,0.27,0.33,0.35,0.36,0.36,0.4,0.4,0.36,0.39,0.44,0.29,0.38,0.37,0.48,0.44,0.46,0.36
hannosset.csv,0.0,0.0,0.0,0.0,0.0,0.86,0.5,0.67,0.95,0.0,0.93,0.75,0.0,0.9,0.75,0.8,0.5,0.83,0.8
jbpm.csv,0.0,0.75,0.0,0.9,0.65,0.94,0.93,0.95,0.98,0.0,0.9,0.0,0.83,0.83,0.5,0.75,0.0,0.0,0.8
mevenide.csv,0.62,0.5,0.75,0.88,0.56,0.92,0.96,0.67,0.98,0.52,0.81,0.83,0.75,0.92,0.71,0.9,0.88,0.85,0.91
nassp.csv,0.71,0.56,0.65,0.47,0.33,0.56,0.65,0.46,0.52,0.75,0.48,0.68,0.31,0.56,0.45,0.65,0.75,0.5,0.71
open-media-library.csv,0.55,0.9,0.46,0.54,0.47,0.52,0.58,0.59,0.68,0.45,0.58,0.42,0.52,0.52,0.38,0.43,0.5,0.58,0.88
opendvr.csv,0.59,0.42,0.4,0.43,0.46,0.67,0.6,0.45,0.55,0.67,0.49,0.91,0.38,0.43,0.64,0.5,0.82,0.68,0.57
openefm.csv,0.61,0.57,0.94,0.62,0.37,0.65,0.5,0.58,0.63,0.58,0.62,0.58,0.75,0.62,0.72,0.67,0.89,0.58,0.52
oppna-program-hsatools.csv,0.41,0.42,0.27,0.34,0.34,0.38,0.36,0.41,0.4,0.33,0.42,0.45,0.27,0.38,0.38,0.39,0.45,0.46,0.35
paintown.csv,0.52,0.44,0.63,0.38,0.34,0.47,0.53,0.45,0.53,0.38,0.49,0.41,0.37,0.49,0.4,0.53,0.64,0.47,0.4
projectfactory.csv,0.8,0.92,0.54,0.77,0.71,0.66,0.66,0.89,0.99,0.8,0.96,0.96,0.35,0.57,0.91,0.88,0.94,0.93,0.71
smbopensoft.csv,0.88,0.56,0.44,0.39,0.42,0.73,0.61,0.83,0.69,0.83,0.78,0.97,0.34,0.8,0.87,0.8,0.93,0.92,0.89
st-filteredstatistics.csv,0.53,0.5,0.53,0.37,0.4,0.44,0.39,0.52,0.42,0.5,0.46,0.5,0.33,0.45,0.41,0.57,0.58,0.42,0.37
thedata.csv,0.9,0.9,0.28,0.89,0.5,0.63,0.99,0.86,0.99,0.71,0.96,0.94,0.83,0.53,0.86,0.9,0.45,0.83,0.67
trackit.csv,0.71,0.42,0.94,0.43,0.34,0.52,0.53,0.54,0.51,0.63,0.5,0.73,0.42,0.51,0.48,0.68,0.56,0.57,0.39
wxstudio.csv,0.64,0.92,0.95,0.9,0.92,0.89,0.73,0.62,0.86,0.57,0.83,0.56,0.67,0.92,0.5,0.59,0.73,0.56,0.62
