,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,xbg.csv,gdis.csv,loki-lib.csv,exl.csv
avifile.csv,0.99,0.93,0.94,0.7,0.88,0.71,0.83,0.64,0.53,0.52,0.48,0.31,0.79,0.8,0.37,0.45,0.81
baadengine.csv,0.49,0.36,0.6,0.37,0.38,0.39,0.54,0.35,0.34,0.35,0.44,0.29,0.41,0.59,0.36,0.44,0.46
bibedt.csv,0.98,0.82,0.58,0.5,0.56,0.55,0.56,0.83,0.43,0.86,0.59,0.6,0.83,0.92,0.38,0.6,0.44
exl.csv,0.79,0.43,0.43,0.54,0.73,0.57,0.93,0.53,0.56,0.88,0.64,0.5,0.53,0.77,0.91,0.89,0.41
gdis.csv,0.56,0.79,0.48,0.55,0.46,0.76,0.55,0.45,0.52,0.44,0.51,0.48,0.5,0.46,0.35,0.49,0.45
gogoego.csv,0.64,0.42,0.67,0.49,0.5,0.55,0.47,0.64,0.47,0.39,0.51,0.83,0.43,0.4,0.29,0.89,0.36
httpcontentparser.csv,0.55,0.4,0.53,0.68,0.43,0.89,0.5,0.43,0.39,0.86,0.63,0.36,0.48,0.8,0.0,0.71,0.39
jaxlib.csv,0.59,0.74,0.97,0.53,0.47,0.63,0.55,0.6,0.98,0.61,0.49,0.75,0.64,0.7,0.85,0.67,0.44
jgameai.csv,0.99,0.79,0.5,0.86,0.86,0.73,0.92,0.97,0.98,0.75,0.98,0.75,0.87,0.83,0.95,0.0,0.94
jhotdraw.csv,0.58,0.58,0.43,0.5,0.43,0.57,0.67,0.38,0.89,0.9,0.8,0.54,0.9,0.49,0.56,0.81,0.57
loki-lib.csv,0.62,0.46,0.39,0.44,0.37,0.62,0.49,0.39,0.37,0.42,0.47,0.39,0.45,0.65,0.31,0.45,0.41
patterntesting.csv,0.42,0.36,0.35,0.41,0.38,0.49,0.53,0.36,0.36,0.55,0.45,0.31,0.37,0.4,0.38,0.47,0.46
pokeglobal.csv,0.46,0.4,0.36,0.71,0.47,0.49,0.54,0.62,0.37,0.62,0.66,0.42,0.39,0.69,0.65,0.77,0.53
werx.csv,0.42,0.42,0.37,0.41,0.41,0.48,0.54,0.38,0.36,0.43,0.45,0.3,0.39,0.4,0.36,0.44,0.72
xbg.csv,0.76,0.9,0.0,0.91,0.83,0.5,0.94,0.97,0.96,0.75,0.95,0.86,0.89,0.68,0.5,0.8,0.75
zealos.csv,0.65,0.53,0.58,0.52,0.62,0.68,0.58,0.42,0.42,0.36,0.53,0.38,0.46,0.8,0.37,0.55,0.67
