,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.31,0.15,0.5,0.36,0.25,0.16,0.0,0.09,0.14,0.14
flylegacy.csv,0.63,0.52,0.75,0.28,0.42,0.5,0.32,0.62,0.39,0.3
jguard.csv,0.52,0.41,0.67,0.27,0.69,0.62,0.33,0.79,0.46,0.54
m-a-d-n-e-s-s.csv,0.35,0.11,0.51,0.19,0.14,0.0,0.09,0.23,0.65,0.19
mob-sen-plat.csv,0.56,0.86,0.83,0.25,0.72,0.51,0.32,0.85,0.52,0.52
raygina.csv,0.63,0.0,0.64,0.25,0.36,0.38,0.28,0.33,0.58,0.34
st-filteredstatistics.csv,0.56,0.45,0.81,0.25,0.67,0.48,0.31,0.89,0.47,0.56
upp-mirror.csv,0.41,0.16,0.72,0.33,0.76,0.4,0.27,0.49,0.49,0.27
wishmaster.csv,0.26,0.31,0.61,0.24,0.63,0.35,0.55,0.17,0.52,0.46
yarp.csv,0.32,0.06,0.55,0.1,0.0,0.33,0.13,0.35,0.45,0.62
