,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.77,0.8,0.95,0.95,0.74,0.67,0.91,1.0,0.88,0.98,0.15
fceugc.csv,0.63,0.67,0.68,0.4,0.56,0.83,0.63,0.71,0.89,0.67,0.57
flexpay.csv,0.81,0.86,0.55,0.88,0.87,0.56,0.68,0.49,0.88,0.87,1.04
jstock.csv,0.94,0.6,0.71,0.77,0.84,0.81,0.71,0.2,0.89,0.72,0.6
keyczar.csv,0.97,0.93,0.99,0.85,1.06,0.92,0.91,0.95,0.78,0.44,0.85
modellus.csv,0.89,0.48,0.62,0.63,0.52,0.31,0.42,0.7,0.68,0.86,0.9
open-data-kit.csv,0.8,0.71,0.86,0.91,0.58,0.77,0.37,0.45,0.89,0.71,0.74
phet.csv,0.45,0.88,0.93,0.91,1.08,0.97,0.98,0.89,0.88,0.93,0.91
qtractor.csv,0.92,0.38,0.63,0.55,0.49,0.39,0.46,0.56,0.7,1.0,0.69
sumatrapdf.csv,0.86,0.57,0.92,0.69,0.3,0.71,0.76,0.73,0.72,0.76,0.36
synergyspace.csv,0.77,0.79,0.71,0.77,0.54,0.54,0.67,0.71,0.52,0.81,0.99
