,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.25,0.12,0.09,0.02,0.04,0.4,0.11,0.02,0.24,0.0,0.13
fceugc.csv,0.47,0.29,0.4,0.28,0.29,0.35,0.52,0.53,0.37,0.33,0.48
flexpay.csv,0.57,0.67,0.27,0.35,0.05,0.23,0.34,0.49,0.36,0.67,0.52
jstock.csv,0.2,0.33,0.32,0.12,0.02,0.08,0.05,0.19,0.12,0.2,0.13
keyczar.csv,0.05,0.5,0.03,0.26,0.73,0.3,0.27,0.44,0.11,0.33,0.26
modellus.csv,0.51,0.12,0.45,0.12,0.05,0.2,0.34,0.09,0.28,0.27,0.04
open-data-kit.csv,0.66,0.67,0.83,0.91,0.25,0.77,0.23,0.44,0.8,0.07,0.74
phet.csv,0.28,0.75,0.25,0.56,0.84,0.62,0.86,0.84,0.59,0.93,0.7
qtractor.csv,0.47,0.29,0.43,0.28,0.18,0.3,0.14,0.16,0.34,0.0,0.22
sumatrapdf.csv,0.84,0.54,0.92,0.65,0.2,0.7,0.75,0.7,0.7,0.33,0.3
synergyspace.csv,0.48,0.33,0.64,0.12,0.49,0.24,0.36,0.47,0.3,0.47,0.26
