,dvd-create.csv,phonon-vlc-mplayer.csv,tktoolkit.csv,mpgravity.csv,myfaces.csv,empserver.csv,ppcboot.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,echongl.csv,ultimairis.csv,gdis.csv,gmerlin.csv,passwordsafe.csv,growl-for-windows.csv,sandiaportals.csv,nativeclient.csv,wikipediardware.csv
amateur-scrolls.csv,0.35,0.3,0.2,0.0,0.45,0.2,0.18,0.0,0.96,0.09,0.11,0.29,0.15,0.09,0.13,0.16,0.12,0.19
dvd-create.csv,1.0,0.69,0.53,0.5,0.68,0.63,0.63,0.26,0.38,0.37,0.44,0.74,0.32,0.73,0.42,0.49,0.64,0.72
echongl.csv,0.0,0.59,0.42,0.56,0.26,0.0,0.0,0.61,0.45,0.99,0.58,0.0,0.5,0.62,0.07,0.66,0.01,0.04
empserver.csv,0.54,0.61,0.68,0.82,0.55,0.93,0.47,0.12,0.64,0.44,0.53,0.51,0.65,0.5,0.47,0.54,0.43,0.56
gdis.csv,0.61,0.8,0.6,0.55,0.17,0.5,0.58,0.44,0.67,0.3,0.46,0.98,0.54,0.48,0.33,0.58,0.56,0.56
gmerlin.csv,0.18,0.07,0.34,0.0,0.18,0.07,0.23,0.24,0.24,0.11,0.25,0.11,0.98,0.13,0.2,0.07,0.17,0.04
growl-for-windows.csv,0.59,0.6,0.51,0.74,0.54,0.63,0.56,0.66,0.69,0.35,0.59,0.63,0.6,0.54,0.98,0.6,0.52,0.62
mpgravity.csv,0.56,0.64,0.49,1.0,0.62,0.57,0.58,0.8,0.73,0.48,0.64,0.64,0.42,0.51,0.71,0.65,0.56,0.52
myfaces.csv,0.48,0.46,0.13,0.09,0.92,0.0,0.09,0.36,0.17,0.38,0.13,0.0,0.13,0.27,0.63,0.0,0.57,0.0
nativeclient.csv,0.37,0.58,0.53,0.46,0.6,0.56,0.44,0.23,0.67,0.69,0.43,0.51,0.35,0.57,0.22,0.66,0.96,0.28
passwordsafe.csv,0.46,0.72,0.57,0.29,0.6,0.53,0.54,0.24,0.46,0.2,0.32,0.51,0.54,0.92,0.61,0.64,0.45,0.73
phonon-vlc-mplayer.csv,0.45,0.99,0.39,0.45,0.65,0.59,0.5,0.12,0.56,0.52,0.4,0.63,0.41,0.44,0.61,0.62,0.49,0.6
ppcboot.csv,0.37,0.78,0.26,0.59,0.54,0.35,0.91,0.12,0.43,0.66,0.43,0.53,0.4,0.48,0.55,0.62,0.37,0.59
rtrt-on-gpu.csv,0.32,0.43,0.48,0.2,0.46,0.6,0.33,0.91,0.34,0.3,0.42,0.46,0.45,0.47,0.35,0.24,0.45,0.34
sandiaportals.csv,0.58,0.84,0.54,0.62,0.0,0.35,0.68,0.24,0.71,0.4,0.45,0.71,0.46,0.65,0.48,1.0,0.57,0.55
tktoolkit.csv,0.06,0.4,0.82,0.0,0.38,0.26,0.33,0.24,0.0,0.67,0.05,0.46,0.13,0.5,0.61,0.0,0.21,0.04
ultimairis.csv,0.62,0.71,0.09,0.57,0.35,0.46,0.17,0.58,0.75,0.72,0.91,0.42,0.47,0.61,0.63,0.68,0.48,0.62
wikipediardware.csv,0.66,0.62,0.47,0.61,0.54,0.4,0.51,0.51,0.56,0.0,0.4,0.77,0.62,0.59,0.37,0.66,0.52,0.98
