,dvd-create.csv,phonon-vlc-mplayer.csv,tktoolkit.csv,mpgravity.csv,myfaces.csv,empserver.csv,ppcboot.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,echongl.csv,ultimairis.csv,gdis.csv,gmerlin.csv,passwordsafe.csv,growl-for-windows.csv,sandiaportals.csv,nativeclient.csv,wikipediardware.csv
amateur-scrolls.csv,0.0,0.0,0.0,52.0,5.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
dvd-create.csv,0.0,6.0,10.0,4.0,7.0,1.0,0.0,1.0,8.0,0.0,9.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0
echongl.csv,91.0,19.0,2.0,2.0,16.0,68.0,236.0,3.0,10.0,0.0,1.0,69.0,8.0,0.0,0.0,4.0,0.0,0.0
empserver.csv,0.0,6.0,3.0,1.0,3.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gdis.csv,0.0,19.0,1.0,2.0,33.0,1.0,0.0,5.0,1.0,0.0,2.0,0.0,5.0,4.0,1.0,4.0,1.0,0.0
gmerlin.csv,0.0,0.0,15.0,52.0,6.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
growl-for-windows.csv,0.0,25.0,8.0,1.0,36.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,5.0,3.0,0.0,3.0,1.0,0.0
mpgravity.csv,0.0,3.0,16.0,0.0,35.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0
myfaces.csv,0.0,20.0,3.0,2.0,0.0,1.0,0.0,3.0,11.0,0.0,1.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0
nativeclient.csv,1.0,2.0,21.0,1.0,3.0,0.0,0.0,10.0,2.0,0.0,5.0,0.0,3.0,2.0,6.0,0.0,0.0,1.0
passwordsafe.csv,0.0,7.0,11.0,7.0,24.0,0.0,0.0,7.0,6.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0
phonon-vlc-mplayer.csv,0.0,0.0,2.0,1.0,24.0,6.0,0.0,9.0,4.0,0.0,0.0,0.0,9.0,2.0,0.0,3.0,7.0,0.0
ppcboot.csv,0.0,7.0,6.0,1.0,16.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0
rtrt-on-gpu.csv,0.0,5.0,22.0,15.0,51.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0
sandiaportals.csv,0.0,9.0,8.0,0.0,37.0,1.0,0.0,5.0,5.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0
tktoolkit.csv,0.0,21.0,0.0,2.0,37.0,0.0,2.0,3.0,11.0,0.0,1.0,2.0,8.0,0.0,0.0,4.0,4.0,2.0
ultimairis.csv,0.0,10.0,3.0,0.0,37.0,1.0,0.0,7.0,5.0,1.0,0.0,1.0,16.0,0.0,0.0,2.0,0.0,2.0
wikipediardware.csv,0.0,14.0,9.0,15.0,10.0,5.0,0.0,12.0,7.0,0.0,3.0,1.0,4.0,6.0,4.0,2.0,1.0,0.0
