,etics.csv,arianne.csv,linuxsh.csv,openmeetings.csv,scite-ru.csv,ifmo-game-1.csv,mvdsv.csv,plato.csv,flexpay.csv,vrjuggler.csv,projecteqemu.csv,uclmda.csv,jcl.csv,chrysalis.csv
arianne.csv,0.4,0.48,0.44,0.7,0.38,0.46,0.38,0.41,0.41,0.38,0.41,0.26,0.41,0.46
chrysalis.csv,0.47,0.82,0.58,0.95,0.52,0.54,0.32,0.35,0.45,0.0,0.42,0.4,0.37,0.52
etics.csv,0.5,0.93,0.8,0.79,0.0,0.65,0.61,0.83,0.49,0.92,0.45,0.52,0.69,0.92
flexpay.csv,0.75,0.4,0.51,0.4,0.46,0.82,0.75,0.37,0.63,0.38,0.75,0.26,0.8,0.55
ifmo-game-1.csv,0.8,0.78,0.75,0.56,0.5,0.76,0.89,0.5,0.81,0.54,0.75,0.46,0.49,0.92
jcl.csv,0.88,0.51,0.46,0.53,0.4,0.69,0.42,0.35,0.57,0.56,0.6,0.26,0.59,0.44
linuxsh.csv,0.93,0.86,0.62,0.66,0.67,0.5,0.91,0.88,0.6,0.0,0.71,0.31,0.81,0.94
mvdsv.csv,0.5,0.75,0.67,0.89,0.48,0.0,0.88,0.67,0.93,0.8,0.79,0.0,0.46,0.8
openmeetings.csv,0.53,0.58,0.7,0.56,0.5,0.67,0.91,0.42,0.43,0.43,0.82,0.55,0.42,0.94
plato.csv,0.39,0.41,0.44,0.4,0.43,0.45,0.38,0.54,0.41,0.36,0.41,0.26,0.4,0.72
projecteqemu.csv,0.5,0.63,0.43,0.46,0.8,0.72,0.35,0.88,0.51,0.92,0.45,0.41,0.49,0.82
scite-ru.csv,0.39,0.45,0.48,0.43,0.67,0.46,0.38,0.49,0.4,0.39,0.39,0.96,0.37,0.76
uclmda.csv,0.9,0.89,0.88,0.83,0.9,0.86,0.0,0.83,0.82,0.0,0.0,0.27,0.92,0.83
vrjuggler.csv,0.5,0.7,0.0,0.53,0.93,0.88,0.67,0.71,0.98,0.57,0.76,0.33,0.95,0.93
