,utgb.csv,fw4spl.csv,nassp.csv,super-tux.csv,soar.csv,mesa3d.csv,ipfilter.csv,tencompetence.csv,rockbox.csv
fw4spl.csv,0.07,0.9,0.53,0.39,0.39,0.36,0.4,0.46,0.13
ipfilter.csv,0.23,0.28,0.34,0.47,0.5,0.47,1.0,0.5,0.57
mesa3d.csv,0.3,0.2,0.29,0.24,0.04,0.83,0.26,0.24,0.3
nassp.csv,0.47,0.48,1.0,0.29,0.38,0.17,0.3,0.18,0.13
rockbox.csv,0.54,0.62,0.63,0.35,0.5,0.59,0.59,0.39,1.0
soar.csv,0.61,0.42,0.52,0.45,0.97,0.58,0.58,0.6,0.6
super-tux.csv,0.38,0.05,0.09,1.0,0.0,0.0,0.0,0.48,0.0
tencompetence.csv,0.36,0.18,0.35,0.43,0.37,0.5,0.09,0.97,0.3
utgb.csv,0.98,0.33,0.63,0.37,0.55,0.43,0.39,0.34,0.06
