,sauerbraten.csv,oppna-program-hsatools.csv,mpgravity.csv,gretl.csv,ogre.csv,yarp.csv,openmsx.csv,doomlegacy.csv,gmerlin.csv,illumination.csv,open-ms.csv,elateportal.csv,sandiaportals.csv,zemljanka.csv,nativeclient.csv,natpad.csv
doomlegacy.csv,0.58,0.51,0.92,0.7,0.75,1.0,0.6,0.55,0.97,0.9,0.63,0.9,1.0,0.95,0.78,0.53
elateportal.csv,1.0,0.97,0.54,0.52,0.76,0.92,0.87,0.81,0.81,0.73,0.64,0.05,0.8,0.83,0.83,0.66
gmerlin.csv,0.48,0.75,1.0,1.0,1.0,0.87,0.77,1.0,0.46,0.55,1.0,0.5,0.57,1.0,0.93,0.77
gretl.csv,0.88,0.61,0.62,0.46,1.08,0.78,0.85,0.69,0.84,0.7,0.75,1.02,0.53,0.44,0.65,0.63
illumination.csv,0.98,0.59,1.0,1.0,1.0,0.91,0.99,1.0,0.94,0.22,1.0,1.0,0.83,1.0,0.89,0.97
mpgravity.csv,0.96,1.0,0.28,0.47,1.3,1.0,0.7,0.74,0.74,0.92,0.56,1.0,0.83,0.99,0.64,0.68
nativeclient.csv,0.53,0.51,0.52,0.47,0.82,0.71,0.8,0.51,0.7,0.67,0.62,0.97,0.42,0.66,0.45,0.49
natpad.csv,0.88,0.93,0.92,0.61,0.98,0.88,0.79,0.62,0.79,0.67,0.6,0.9,0.72,0.83,0.72,0.44
ogre.csv,0.93,0.5,1.0,0.78,0.06,0.85,0.63,0.82,0.65,0.88,0.8,1.0,0.86,0.72,0.85,0.77
open-ms.csv,0.55,0.58,1.0,0.57,1.13,0.69,0.86,0.56,0.68,0.68,0.64,0.5,0.65,0.76,0.8,0.71
openmsx.csv,0.55,0.58,1.0,1.0,0.9,1.0,0.53,0.63,0.69,0.72,1.0,0.83,1.0,1.0,0.86,0.84
oppna-program-hsatools.csv,0.92,0.22,0.98,0.56,1.05,0.84,0.76,0.85,0.77,0.68,0.8,1.22,0.67,0.6,0.92,0.85
sandiaportals.csv,0.92,0.74,0.83,0.45,0.96,0.75,0.68,0.73,0.74,0.77,0.64,1.03,0.28,0.96,0.51,0.45
sauerbraten.csv,0.46,0.44,1.0,1.0,1.0,0.88,0.98,1.0,1.0,0.8,0.94,1.0,1.0,1.0,1.0,1.0
yarp.csv,0.8,0.68,0.84,1.0,0.94,0.59,0.89,0.76,0.97,0.8,0.73,1.0,1.0,1.0,0.95,1.0
zemljanka.csv,0.97,0.96,1.01,0.77,0.56,0.88,0.78,0.76,0.75,0.79,0.79,1.0,0.98,0.2,0.9,0.83
