,sauerbraten.csv,oppna-program-hsatools.csv,mpgravity.csv,gretl.csv,ogre.csv,yarp.csv,openmsx.csv,doomlegacy.csv,gmerlin.csv,illumination.csv,open-ms.csv,elateportal.csv,sandiaportals.csv,zemljanka.csv,nativeclient.csv,natpad.csv
doomlegacy.csv,0.36,0.65,0.8,0.63,0.44,0.46,0.5,0.34,0.0,0.62,0.48,0.83,0.0,0.94,0.72,0.48
elateportal.csv,0.33,0.52,0.43,0.41,0.46,0.46,0.44,0.35,0.37,0.37,0.49,0.31,0.41,0.53,0.86,0.71
gmerlin.csv,0.32,0.39,0.0,0.0,0.0,0.45,0.73,0.0,0.44,0.4,0.0,0.3,0.38,0.0,0.91,0.41
gretl.csv,0.34,0.5,0.69,0.4,0.47,0.77,0.48,0.37,0.39,0.49,0.44,0.79,0.42,0.46,0.55,0.39
illumination.csv,0.5,0.42,0.0,0.0,0.0,0.51,0.75,0.0,0.5,0.68,0.0,0.3,0.62,0.0,0.95,0.44
mpgravity.csv,0.32,0.41,0.64,0.4,0.74,0.46,0.46,0.34,0.4,0.33,0.55,0.3,0.38,0.67,0.52,0.44
nativeclient.csv,0.48,0.52,0.37,0.4,0.54,0.62,0.77,0.47,0.61,0.45,0.52,0.83,0.42,0.56,0.59,0.46
natpad.csv,0.35,0.69,0.5,0.38,0.82,0.47,0.49,0.42,0.42,0.51,0.51,0.83,0.38,0.44,0.61,0.37
ogre.csv,0.83,0.41,0.38,0.62,0.45,0.9,0.64,0.4,0.48,0.38,0.47,0.3,0.5,0.73,0.52,0.49
open-ms.csv,0.47,0.43,0.0,0.43,0.42,0.42,0.71,0.33,0.44,0.44,0.55,0.32,0.41,0.49,0.66,0.67
openmsx.csv,0.5,0.41,0.75,0.0,0.95,0.47,0.65,0.59,0.53,0.52,0.88,0.31,0.39,0.0,0.98,0.51
oppna-program-hsatools.csv,0.75,0.48,0.37,0.44,0.47,0.6,0.78,0.35,0.55,0.54,0.48,0.9,0.5,0.53,0.51,0.57
sandiaportals.csv,0.32,0.58,0.5,0.49,0.88,0.54,0.76,0.76,0.66,0.49,0.64,0.67,0.45,0.93,0.69,0.43
sauerbraten.csv,0.39,0.39,0.38,0.44,0.43,0.68,0.41,0.36,0.37,0.4,0.4,0.3,0.39,0.45,0.49,0.43
yarp.csv,0.9,0.61,0.83,0.0,0.93,0.62,0.89,0.85,0.0,0.85,0.8,0.0,0.0,0.0,0.91,0.0
zemljanka.csv,0.36,0.4,0.86,0.5,0.5,0.47,0.44,0.36,0.41,0.39,0.44,0.32,0.49,0.48,0.53,0.45
