,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.74,0.33,0.21,0.48,0.11,0.17,0.22,0.46,0.21,0.51,0.69
ikvm.csv,0.67,0.13,0.77,0.52,0.55,0.37,0.78,0.76,1.0,0.69,0.66
libtorrent.csv,0.67,0.5,0.63,0.43,0.78,0.67,0.28,0.68,0.57,0.72,0.69
mcmc-jags.csv,0.56,0.7,0.42,0.14,0.61,0.43,0.56,0.57,0.15,0.75,0.93
moast.csv,0.44,0.5,1.0,1.0,1.0,1.0,0.61,1.0,1.0,0.31,0.03
olap-navigator.csv,0.04,0.27,0.43,0.21,0.33,0.13,0.0,0.54,0.52,0.39,0.83
pidgin.csv,0.07,0.4,0.61,0.02,0.27,0.23,0.11,0.19,0.55,0.26,0.48
salasaga.csv,0.56,0.63,0.4,0.57,0.36,0.48,0.39,0.08,0.31,0.66,0.59
sepgsql.csv,0.04,0.37,0.3,0.05,0.2,0.09,0.0,0.11,0.22,0.1,0.28
sigil.csv,0.52,0.73,0.07,0.0,0.16,0.08,0.44,0.22,0.13,0.82,0.97
xtreemfs.csv,0.11,0.47,0.34,0.05,0.27,0.16,0.11,0.14,0.23,0.2,0.41
