,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.35,0.23,0.56,0.33,0.45,0.57,0.02,0.04,0.0,0.16,0.3,0.04,0.33,0.37
crux-framework.csv,0.35,0.5,0.19,0.31,0.05,0.49,0.65,0.19,0.45,0.26,0.32,0.26,1.0,0.07
etherboot.csv,0.13,0.23,0.0,0.03,0.55,0.22,0.0,0.29,0.77,0.95,0.08,0.0,0.67,0.96
freebios.csv,0.48,0.18,0.25,0.56,0.41,0.11,0.8,0.4,0.49,0.53,0.5,0.21,1.0,0.26
gebr.csv,0.97,0.95,0.25,0.79,0.64,1.0,0.67,0.7,0.91,0.79,0.94,0.85,1.0,1.0
gnukeda.csv,0.9,0.55,0.25,0.72,0.86,0.89,0.43,0.45,0.72,0.21,0.95,0.24,0.67,0.89
google-gears.csv,0.84,0.91,0.88,0.36,0.91,1.0,0.84,0.92,1.0,0.79,0.7,0.91,1.0,1.0
gstreamer.csv,0.87,0.77,0.38,0.59,0.77,0.89,0.53,0.5,0.79,0.79,0.74,0.69,1.0,1.0
jnode.csv,0.06,0.41,0.81,0.36,0.05,0.0,0.22,0.43,0.09,0.16,0.15,0.05,0.0,0.04
metacosm.csv,0.32,0.82,0.88,0.49,0.14,0.41,0.08,0.51,0.49,0.58,0.32,0.27,0.67,0.74
openmeetings.csv,0.61,0.95,0.75,0.21,0.82,0.54,0.04,0.41,0.7,0.42,0.32,0.42,0.67,0.48
pgui.csv,0.58,0.95,0.0,0.44,0.77,0.65,0.24,0.6,0.66,0.47,0.66,0.0,1.0,1.0
tradelink.csv,0.26,0.73,0.88,0.44,0.73,0.51,0.51,0.61,0.7,0.74,0.29,0.8,0.67,0.81
wxcrp.csv,0.55,0.91,1.0,0.67,1.0,0.78,0.67,0.87,0.89,0.84,0.68,0.81,0.67,0.93
