,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,glas.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.45,0.47,0.57,0.9,0.41,0.55,0.6,0.55,0.73,0.45,0.62,0.84,0.67,0.63,0.4,0.49,0.96
codepurge.csv,0.79,0.47,0.8,0.75,0.47,0.88,0.8,0.35,0.76,0.51,0.72,0.93,0.5,0.95,0.8,0.61,0.94
fontforge.csv,0.6,0.43,0.58,0.89,0.38,0.56,0.62,0.5,0.7,0.5,0.76,0.64,0.79,0.77,0.55,0.95,0.8
glas.csv,0.53,0.55,0.86,0.81,0.4,0.48,0.89,0.29,0.79,0.35,0.6,0.62,0.63,0.83,0.36,0.62,0.78
gmerlin.csv,0.7,0.68,0.8,0.88,0.76,0.8,0.5,0.33,0.73,0.34,0.76,0.78,0.92,0.9,0.4,0.66,0.95
hatari.csv,0.58,0.49,0.57,0.41,0.53,0.43,0.79,0.39,0.55,0.52,0.52,0.56,0.85,0.83,0.46,0.95,0.81
jcl.csv,0.0,0.67,0.0,0.67,0.8,0.5,0.0,0.0,0.0,0.5,0.0,0.8,0.0,0.0,0.91,0.0,0.75
ltp.csv,0.9,0.64,0.75,0.88,0.45,0.83,0.0,0.5,0.94,0.0,0.83,0.97,0.86,0.5,0.67,0.5,0.5
mia.csv,0.83,0.94,0.5,0.67,0.33,0.96,0.8,0.67,0.95,0.31,0.52,0.94,0.0,0.75,0.45,0.89,0.8
net-snmp.csv,0.57,0.51,0.75,0.57,0.53,0.55,0.68,0.87,0.63,0.49,0.52,0.78,0.72,0.6,0.7,0.84,0.58
opde.csv,0.5,0.53,0.63,0.74,0.48,0.73,0.73,0.9,0.59,0.36,0.54,0.81,0.85,0.79,0.37,0.55,0.59
oppna-program-hsatools.csv,0.38,0.3,0.38,0.37,0.33,0.34,0.36,0.28,0.41,0.41,0.42,0.41,0.38,0.5,0.42,0.34,0.35
powerfolder-.csv,0.92,0.69,0.0,0.0,0.52,0.8,0.0,0.88,0.8,0.67,0.81,0.8,0.0,0.75,0.5,0.75,0.0
qlc.csv,0.0,0.86,0.0,0.86,0.0,0.83,0.0,0.0,0.93,0.0,0.92,0.95,0.92,0.0,0.8,0.67,0.94
quantlib.csv,0.43,0.45,0.48,0.6,0.42,0.47,0.55,0.48,0.69,0.36,0.48,0.55,0.65,0.72,0.44,0.57,0.95
tcl.csv,0.88,0.94,0.86,0.72,0.99,0.95,0.9,0.92,0.9,0.53,0.96,0.75,0.95,0.96,0.79,0.86,0.96
