,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,0.7,0.46,0.82,0.74,0.67,0.62,0.71,0.51,0.57,0.33,0.47,0.45,0.21,0.71,0.73,0.51
autat.csv,0.29,0.3,0.48,0.02,0.27,0.52,0.66,0.64,0.66,0.46,0.25,0.26,0.61,0.72,0.5,0.0
biopax.csv,0.8,0.0,0.58,0.4,0.73,0.66,0.69,0.36,0.0,0.0,0.17,0.13,0.81,0.47,0.41,0.27
exl.csv,0.64,0.61,0.19,0.24,0.3,0.65,0.43,0.32,0.36,0.64,0.61,0.6,0.52,0.77,0.58,0.2
fceugc.csv,0.62,0.67,0.33,0.49,0.42,0.69,0.61,0.5,0.35,0.54,0.62,0.46,0.25,0.37,0.33,0.67
fido.csv,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.18,0.97,0.05,0.0,0.33,0.0,0.18,0.5
gretl.csv,0.58,0.67,0.57,0.63,0.7,0.5,0.48,0.64,0.83,0.44,0.62,0.89,0.58,0.74,0.64,0.65
jasperreports.csv,0.36,0.61,0.31,0.09,0.61,0.47,0.53,0.27,0.94,0.29,0.24,0.13,0.2,0.58,0.44,0.57
jmule.csv,0.86,0.64,0.8,0.73,0.7,0.57,0.64,0.56,0.89,0.71,0.68,0.82,0.64,0.72,0.75,0.88
moast.csv,0.27,0.0,0.42,0.0,0.0,0.0,0.0,0.28,0.52,0.05,0.27,0.96,0.61,0.5,0.21,0.37
ng4j.csv,0.51,0.0,0.71,0.66,0.64,0.51,0.69,0.54,0.87,0.84,0.72,0.75,0.56,0.76,0.81,0.58
olap-navigator.csv,0.86,0.8,0.68,0.62,0.57,0.52,0.65,0.58,0.92,0.49,0.64,0.57,0.48,0.62,0.68,0.27
passwordsafe.csv,0.33,0.52,0.82,0.72,0.45,0.58,0.67,0.64,0.68,0.76,0.69,0.66,0.63,0.59,0.56,0.0
phonon-vlc-mplayer.csv,0.57,0.43,0.79,0.6,0.65,0.55,0.65,0.29,0.76,0.68,0.63,0.9,0.71,0.7,0.76,0.1
sepgsql.csv,0.61,0.78,0.65,0.68,0.49,0.43,0.69,0.61,0.72,0.51,0.59,0.92,0.4,0.79,0.59,0.1
unflobtactical.csv,0.77,0.62,0.71,0.48,0.38,0.55,0.75,0.61,0.49,0.43,0.68,0.57,0.7,0.7,0.69,0.38
