,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,0.46,0.6,0.36,0.37,0.45,0.61,0.39,0.82,0.74,0.91,0.61,0.86,0.95,0.62,0.51,0.56
autat.csv,0.76,0.79,0.57,0.98,0.77,0.56,0.4,0.45,0.68,0.82,0.79,1.02,0.47,0.62,0.58,1.0
biopax.csv,0.49,1.0,0.77,0.88,0.56,0.7,0.66,0.9,1.0,1.0,0.96,0.97,0.23,0.85,0.88,0.93
exl.csv,0.65,0.66,0.92,0.8,0.75,0.66,0.69,0.92,0.9,0.74,0.58,0.76,0.77,0.27,0.62,0.89
fceugc.csv,0.52,0.48,0.8,0.83,0.67,0.38,0.53,0.71,0.74,0.78,0.62,0.79,0.8,0.69,0.87,0.64
fido.csv,0.98,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.86,0.13,0.96,1.0,0.72,1.0,0.85,0.61
gretl.csv,0.76,0.64,0.62,0.58,0.44,0.75,0.84,0.59,0.47,0.86,0.5,0.38,0.76,0.55,0.67,0.59
jasperreports.csv,0.9,0.48,0.96,0.98,0.67,0.84,0.8,0.93,0.14,0.77,0.95,0.97,0.9,0.62,0.81,0.79
jmule.csv,0.18,0.71,0.29,0.53,0.39,0.6,0.54,0.61,0.32,0.67,0.51,0.52,0.44,0.62,0.37,0.19
moast.csv,0.83,1.0,0.69,1.0,1.0,1.0,1.0,0.84,0.76,0.99,0.81,0.11,0.58,0.69,0.95,0.72
ng4j.csv,0.55,1.0,0.56,0.44,0.51,0.62,0.39,0.7,0.43,0.48,0.52,0.62,0.5,0.48,0.36,0.48
olap-navigator.csv,0.17,0.45,0.38,0.71,0.51,0.56,0.46,0.56,0.22,0.75,0.62,0.79,0.58,0.5,0.57,0.93
passwordsafe.csv,0.73,0.82,0.36,0.45,0.61,0.71,0.5,0.64,0.54,0.34,0.39,0.72,0.5,0.77,0.58,1.0
phonon-vlc-mplayer.csv,0.48,0.87,0.28,0.49,0.44,0.55,0.46,0.82,0.58,0.7,0.45,0.31,0.34,0.57,0.33,0.92
sepgsql.csv,0.44,0.38,0.4,0.38,0.57,0.64,0.38,0.57,0.34,0.67,0.47,0.28,0.66,0.41,0.49,0.92
unflobtactical.csv,0.27,0.55,0.35,0.59,0.69,0.56,0.38,0.67,0.84,0.88,0.49,0.79,0.38,0.47,0.63,0.67
