,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.35,0.62,0.53,1.0,0.35,0.42,0.35,0.38,0.76,0.02,0.81,0.23,0.67,0.79,0.56
bibletime.csv,0.37,0.78,0.57,0.42,0.41,0.37,0.34,0.41,0.84,0.03,1.0,0.21,0.55,0.89,0.62
boost.csv,0.32,0.49,0.61,0.33,1.0,0.38,0.18,0.41,0.75,0.03,0.84,0.2,0.49,0.7,0.61
doomlegacy.csv,0.35,0.71,0.58,0.43,0.38,0.4,0.47,0.42,0.98,0.02,0.87,0.24,0.51,0.84,0.73
gpac.csv,0.33,0.52,0.98,0.35,0.34,0.26,0.21,0.38,0.64,0.05,0.89,0.25,0.48,0.74,0.73
kftpgrabber.csv,0.43,0.49,0.5,0.36,0.35,1.0,0.09,0.62,1.0,0.03,0.93,0.29,0.89,1.0,0.72
nativeclient.csv,0.44,0.67,0.54,0.39,0.39,0.38,0.33,0.42,0.83,0.04,0.84,0.22,0.61,0.9,0.99
netatalk.csv,0.68,0.8,0.58,0.38,0.6,0.57,1.0,0.5,0.82,0.03,1.0,0.35,0.68,0.85,0.7
open-ms.csv,0.34,0.53,0.67,0.29,0.54,0.7,0.22,0.35,0.78,0.01,0.8,1.0,0.4,0.56,0.54
openmsx.csv,0.32,0.41,0.6,0.24,0.49,0.34,0.31,1.0,0.85,0.03,0.85,0.22,0.5,0.74,0.67
rosegarden.csv,1.0,0.82,0.64,0.32,0.62,0.57,0.43,0.3,0.88,0.04,0.88,0.32,0.6,0.68,0.58
rsyslog.csv,0.4,1.0,0.56,0.44,0.48,0.53,0.37,0.35,0.78,0.04,0.88,0.25,0.56,0.83,0.73
sandiaportals.csv,0.34,0.74,0.56,0.4,0.42,0.44,0.28,0.39,0.73,0.01,0.87,0.21,0.52,1.0,0.72
xmoto.csv,0.4,0.51,0.53,0.37,0.45,0.48,0.3,0.44,0.79,0.02,0.89,0.24,1.0,0.78,0.59
xqilla.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
