,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,stemkit.csv,zabbix.csv,carabiner.csv
anaxagora.csv,0.03,0.38,0.01,0.09,1.0,0.11,0.27,0.85,0.12,0.02,0.41,0.08,0.07,0.8,0.34,0.25,0.37,0.07,0.35,0.4
blogentis.csv,0.02,0.36,0.01,0.11,0.79,0.07,0.44,0.78,0.0,0.02,0.34,0.05,0.03,0.83,0.3,0.15,0.17,0.08,0.33,0.36
carabiner.csv,0.03,0.37,0.01,0.08,0.81,0.07,0.28,0.91,0.07,0.03,0.3,0.05,0.04,0.56,0.3,0.29,0.21,0.08,0.4,0.68
continuum-ide.csv,0.0,0.36,0.01,0.09,0.62,0.11,0.67,0.77,0.0,0.12,0.35,0.14,0.03,0.46,0.65,0.25,0.2,0.08,0.72,0.33
emulemorph.csv,0.0,0.5,0.03,0.21,0.75,0.0,0.35,0.0,0.2,0.0,0.67,0.0,0.12,0.78,0.4,0.0,0.0,0.13,0.0,0.0
gtad.csv,0.12,0.43,0.01,0.23,1.0,0.16,0.33,1.0,0.05,0.05,0.59,0.29,0.1,1.0,0.32,0.37,0.24,0.13,1.0,0.45
htmlunit.csv,0.05,0.36,0.01,0.16,1.0,0.1,0.25,1.0,0.12,0.03,0.55,0.17,0.09,0.89,0.31,0.28,0.15,0.1,0.83,0.33
jaxen.csv,0.03,0.33,0.01,0.14,0.8,0.06,0.27,0.81,0.23,0.0,0.38,0.36,0.05,0.61,0.27,0.25,0.16,0.07,0.69,0.28
jsr308-langtools.csv,0.04,0.34,0.0,0.0,0.86,0.07,0.26,0.83,0.12,0.02,0.0,0.06,0.0,0.93,0.33,0.22,0.17,0.08,0.35,0.3
jvcl.csv,0.03,0.5,1.0,0.18,1.0,0.0,0.32,1.0,0.15,0.0,0.45,0.1,0.09,0.71,0.33,0.25,0.19,0.0,0.72,0.34
kaffeine.csv,0.03,0.44,0.01,0.1,0.98,0.1,0.31,0.87,0.02,0.03,0.39,0.08,0.05,0.6,0.32,0.3,0.24,0.08,0.4,0.29
m-m-m.csv,0.05,0.36,0.01,0.07,0.86,0.08,0.24,0.96,0.1,0.02,0.27,0.06,0.02,0.53,0.32,0.24,0.16,0.05,0.35,0.31
motu.csv,0.08,0.42,0.02,0.11,1.0,0.05,0.25,0.89,0.03,0.0,0.31,0.06,0.06,0.81,0.23,0.44,0.16,0.0,0.59,0.48
nh3d.csv,0.03,0.41,0.67,0.0,0.82,0.06,0.26,0.84,0.11,0.02,0.49,0.06,0.0,0.61,0.3,0.22,0.16,0.08,0.4,0.3
sarasvati.csv,0.04,0.39,0.01,0.05,1.0,0.17,0.18,0.83,0.03,0.04,0.31,0.08,0.03,0.68,0.39,0.27,0.24,0.11,0.31,0.41
stemkit.csv,0.0,0.45,0.0,0.12,0.83,0.0,0.35,0.81,0.15,0.0,0.44,0.0,0.1,0.93,0.8,0.21,0.16,0.17,0.51,0.17
taokgame.csv,0.05,0.5,0.0,0.1,1.0,0.03,0.25,1.0,0.56,0.0,0.37,0.06,0.09,0.58,0.3,0.0,0.14,0.09,0.6,0.21
wgs-assembler.csv,0.07,0.45,0.01,0.1,1.0,0.08,0.3,1.0,0.27,0.02,0.47,0.08,0.08,0.76,0.37,0.28,0.16,0.09,0.36,0.45
zabbix.csv,0.04,0.38,0.0,0.14,1.0,0.08,0.27,0.94,0.08,0.0,0.42,0.07,0.08,0.83,0.33,0.22,0.13,0.12,0.71,0.13
