,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0
betoffice.csv,5.0,4.0,21.0,85.0,5.0,3.0,0.0,0.0,0.0,4.0
bnetd.csv,0.0,7.0,1.0,4.0,5.0,2.0,0.0,0.0,2.0,3.0
graphmak.csv,1.0,0.0,1.0,3.0,67.0,0.0,5.0,0.0,1.0,2.0
hazelcast.csv,0.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,17.0,12.0
megasquirtavr.csv,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0
pdfedit.csv,0.0,2.0,4.0,0.0,4.0,2.0,2.0,0.0,2.0,6.0
stajistics.csv,1.0,1.0,6.0,0.0,8.0,0.0,0.0,1.0,2.0,0.0
twostep.csv,1.0,5.0,4.0,1.0,7.0,2.0,0.0,3.0,0.0,8.0
xharbour.csv,0.0,5.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0
