,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.68,0.44,0.26,0.5,1.0,0.77,0.46,0.88,0.59,0.3
betoffice.csv,0.41,0.18,0.13,0.0,0.22,0.67,1.0,0.12,0.43,0.28
bnetd.csv,0.81,0.43,0.41,0.5,0.38,0.93,0.42,0.98,0.5,0.4
graphmak.csv,0.82,1.0,0.4,0.57,0.0,1.0,0.17,0.6,0.5,0.73
hazelcast.csv,0.82,0.36,0.39,0.5,0.32,1.0,0.51,0.53,0.37,0.35
megasquirtavr.csv,0.82,0.35,1.0,0.5,0.32,0.85,0.5,0.53,0.37,0.32
pdfedit.csv,0.86,0.39,0.33,0.98,0.44,0.92,0.41,0.6,0.54,0.43
stajistics.csv,0.87,0.5,0.15,0.5,0.41,0.97,0.46,0.64,0.52,1.0
twostep.csv,0.87,0.3,0.27,0.55,0.34,0.87,0.5,0.6,1.0,0.31
xharbour.csv,1.0,0.37,0.29,0.53,0.39,0.82,0.52,0.48,0.35,0.31
