,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.91,0.57,0.62,0.8,0.0,1.07,0.89,0.62,0.39,0.78
betoffice.csv,1.06,0.94,0.89,1.0,0.92,0.94,0.09,0.99,0.79,0.85
bnetd.csv,0.8,0.62,0.66,0.71,0.63,0.56,0.84,0.03,0.5,0.57
graphmak.csv,0.85,0.0,0.9,0.91,1.0,0.71,0.98,0.92,0.92,0.73
hazelcast.csv,1.0,0.96,0.44,1.0,1.0,0.0,0.85,1.0,0.96,0.72
megasquirtavr.csv,1.0,0.96,0.0,1.0,1.0,1.0,0.88,1.0,1.0,0.9
pdfedit.csv,0.65,0.65,0.64,0.02,0.56,0.47,0.84,0.68,0.51,0.5
stajistics.csv,0.79,0.5,0.86,0.83,0.57,0.45,0.76,0.83,0.5,0.07
twostep.csv,0.62,0.8,0.62,0.7,0.73,0.63,0.72,0.6,0.04,0.77
xharbour.csv,0.01,0.91,0.62,0.82,0.6,1.01,0.91,0.82,0.84,0.94
