,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.17,0.6,0.65,0.23,1.0,0.62,0.71,0.38,0.73,0.7
betoffice.csv,0.08,0.08,0.3,0.0,0.09,0.11,0.91,0.03,0.23,0.17
bnetd.csv,0.68,0.8,0.35,0.51,0.55,0.47,0.22,1.0,0.77,0.57
graphmak.csv,0.16,1.0,0.1,0.09,0.0,0.29,0.02,0.08,0.08,0.27
hazelcast.csv,1.0,1.0,0.65,1.0,1.0,1.0,0.87,1.0,0.96,0.87
megasquirtavr.csv,1.0,0.96,1.0,1.0,1.0,1.0,0.87,1.0,1.0,0.97
pdfedit.csv,0.44,0.52,0.4,1.0,0.55,0.64,0.24,0.38,0.58,0.67
stajistics.csv,0.23,0.64,0.2,0.19,0.68,0.56,0.42,0.18,0.65,0.93
twostep.csv,0.47,0.32,0.5,0.37,0.73,0.62,0.6,0.62,0.96,0.73
xharbour.csv,0.99,1.0,0.9,0.91,0.64,0.85,1.0,0.59,0.73,0.97
