,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.95,0.47,0.56,0.85,0.59,0.52,0.5,0.65,0.47,0.61
betoffice.csv,0.94,0.91,0.87,0.5,0.89,0.89,0.61,0.88,0.93,0.94
bnetd.csv,0.41,0.32,0.59,0.41,0.44,0.5,0.71,0.5,0.38,0.44
graphmak.csv,0.94,0.6,0.8,0.86,0.5,0.69,0.83,0.8,0.75,0.91
hazelcast.csv,0.39,0.38,0.45,0.35,0.4,0.35,0.4,0.42,0.4,0.39
megasquirtavr.csv,0.39,0.38,0.8,0.35,0.4,0.4,0.42,0.42,0.42,0.43
pdfedit.csv,0.43,0.42,0.54,0.5,0.52,0.42,0.67,0.6,0.5,0.48
stajistics.csv,0.78,0.44,0.96,0.94,0.46,0.44,0.61,0.91,0.42,0.61
twostep.csv,0.34,0.59,0.68,0.55,0.45,0.46,0.59,0.42,0.48,0.5
xharbour.csv,0.37,0.42,0.57,0.36,0.56,0.44,0.41,0.5,0.53,0.47
