,reactos-mirror.csv,flylegacy.csv,etics.csv,bloodycore.csv,gzigzag.csv,blue-c.csv,jguard.csv,flexpay.csv,unbvision.csv,ppcboot.csv,auber.csv,img-browse-sort.csv,qdvdauthor.csv,biodwh.csv,ftm.csv,jcache.csv
auber.csv,0.46,0.51,0.35,0.26,0.39,0.77,0.29,0.27,0.54,0.58,0.99,0.4,0.64,0.23,0.49,0.45
biodwh.csv,0.21,0.73,0.22,0.21,0.12,0.71,0.34,0.05,0.0,0.09,0.61,0.0,0.75,0.8,0.44,0.35
bloodycore.csv,0.44,0.53,0.27,0.96,0.27,0.48,0.42,0.21,0.24,0.63,0.29,0.29,0.58,0.26,0.54,0.31
blue-c.csv,0.47,0.48,0.34,0.2,0.43,1.0,0.51,0.34,0.42,0.53,0.54,0.48,0.45,0.16,0.56,0.4
etics.csv,0.28,0.63,0.96,0.26,0.29,0.45,0.3,0.19,0.35,0.14,0.33,0.35,0.66,0.37,0.43,0.4
flexpay.csv,0.37,0.76,0.11,0.21,0.29,0.55,0.42,0.93,0.19,0.45,0.44,0.26,0.58,0.0,0.54,0.06
flylegacy.csv,0.35,0.99,0.34,0.24,0.45,0.61,0.52,0.27,0.48,0.15,0.38,0.43,0.67,0.29,0.62,0.52
ftm.csv,0.21,0.45,0.48,0.26,0.13,0.38,0.21,0.13,0.44,0.0,0.43,0.1,0.49,0.27,0.96,0.36
gzigzag.csv,0.49,0.37,0.3,0.16,0.98,0.29,0.14,0.27,0.48,0.6,0.18,0.28,0.52,0.26,0.42,0.36
img-browse-sort.csv,0.37,0.31,0.43,0.21,0.35,0.42,0.24,0.33,0.24,0.68,0.32,0.96,0.2,0.3,0.26,0.45
jcache.csv,0.43,0.59,0.51,0.25,0.34,0.18,0.42,0.23,0.33,0.39,0.53,0.41,0.58,0.32,0.0,1.0
jguard.csv,0.57,0.66,0.38,0.26,0.38,0.48,0.95,0.29,0.48,0.68,0.68,0.42,0.64,0.29,0.52,0.53
ppcboot.csv,0.42,0.69,0.47,0.26,0.39,0.59,0.5,0.29,0.41,0.99,0.59,0.5,0.59,0.21,0.55,0.66
qdvdauthor.csv,0.58,0.64,0.33,0.25,0.22,0.57,0.49,0.26,0.3,0.52,0.55,0.5,0.99,0.2,0.5,0.5
reactos-mirror.csv,0.98,0.68,0.36,0.27,0.29,0.45,0.49,0.29,0.52,0.58,0.64,0.44,0.71,0.28,0.55,0.64
unbvision.csv,0.47,0.71,0.28,0.23,0.4,0.57,0.24,0.27,0.95,0.69,0.31,0.15,0.61,0.21,0.61,0.48
