,reactos-mirror.csv,flylegacy.csv,etics.csv,bloodycore.csv,gzigzag.csv,blue-c.csv,jguard.csv,flexpay.csv,unbvision.csv,ppcboot.csv,auber.csv,img-browse-sort.csv,qdvdauthor.csv,biodwh.csv,ftm.csv,jcache.csv
auber.csv,0.53,0.56,0.52,0.65,0.5,0.5,0.91,0.57,0.66,0.6,0.52,0.53,0.41,0.55,0.61,0.68
biodwh.csv,0.95,0.39,0.8,0.63,0.95,0.42,0.54,0.97,0.0,0.83,0.51,0.75,0.36,0.88,0.67,0.94
bloodycore.csv,0.51,0.52,0.55,0.98,0.52,0.72,0.59,0.87,0.84,0.69,0.9,0.43,0.66,0.48,0.46,0.84
blue-c.csv,0.69,0.66,0.62,0.65,0.56,0.47,0.59,0.6,0.57,0.93,0.55,0.75,0.61,0.88,0.48,0.62
etics.csv,0.68,0.43,0.67,0.7,0.61,0.6,0.61,0.97,0.56,0.93,0.62,0.8,0.41,0.87,0.55,0.91
flexpay.csv,0.56,0.43,0.87,0.48,0.54,0.5,0.62,0.99,0.67,0.74,0.58,0.5,0.61,0.9,0.55,0.0
flylegacy.csv,0.8,0.37,0.62,0.48,0.45,0.47,0.53,0.48,0.44,0.95,0.65,0.41,0.47,0.51,0.43,0.5
ftm.csv,0.99,0.56,0.75,0.98,0.94,0.71,0.88,0.98,0.59,0.0,0.65,0.86,0.53,0.67,0.53,0.8
gzigzag.csv,0.5,0.89,0.7,0.94,0.77,0.88,0.92,0.78,0.65,0.61,0.91,0.56,0.81,0.68,0.76,0.8
img-browse-sort.csv,0.99,0.93,0.48,0.72,0.62,0.88,0.79,0.64,0.86,0.62,0.86,0.83,0.89,0.93,0.83,0.67
jcache.csv,0.59,0.56,0.45,0.6,0.48,0.67,0.51,0.59,0.52,0.4,0.64,0.48,0.41,0.6,0.0,0.44
jguard.csv,0.4,0.51,0.46,0.44,0.43,0.5,0.66,0.47,0.47,0.58,0.46,0.4,0.49,0.46,0.4,0.48
ppcboot.csv,0.66,0.51,0.57,0.57,0.45,0.62,0.52,0.54,0.64,0.76,0.62,0.48,0.57,0.55,0.48,0.58
qdvdauthor.csv,0.51,0.48,0.61,0.49,0.84,0.57,0.52,0.56,0.61,0.73,0.52,0.63,0.44,0.51,0.51,0.64
reactos-mirror.csv,0.64,0.48,0.44,0.39,0.47,0.7,0.48,0.42,0.7,0.57,0.46,0.43,0.5,0.39,0.44,0.5
unbvision.csv,0.57,0.48,0.7,0.99,0.49,0.65,0.92,0.49,0.78,0.73,0.76,0.79,0.48,0.52,0.44,0.75
